method,rank,feature,score
mutual_information,103,all_lesion_convex_hull_area_mean,0.02008226470994079
mutual_information,104,ma_to_exudate_ratio,0.019221950715789138
mutual_information,105,wavelet_horizontal_energy,0.019213587750632977
mutual_information,106,lbp_std,0.018878805077602312
mutual_information,107,hsv_s_mean,0.018275123235157675
mutual_information,108,hsv_v_entropy,0.017877707947481447
mutual_information,109,glcm_energy,0.017805541135280656
mutual_information,110,lab_color_l_min,0.01774460499626862
mutual_information,111,glcm_energy_45,0.01716852370669275
mutual_information,112,superior_lesion_density,0.017153452557680193
mutual_information,113,combined_lesion_burden,0.017073935507583737
mutual_information,114,hard_exudate_coverage_pct,0.01704200836047387
mutual_information,115,rgb_g_min,0.016998889913315995
mutual_information,116,exudate_density,0.016694069611505213
mutual_information,117,cotton_wool_count,0.016258701171633083
mutual_information,118,hard_exudate_texture_std,0.015486663999012329
mutual_information,119,hard_exudate_count,0.015455152981689091
mutual_information,120,hsv_v_mean,0.01542308753636723
mutual_information,121,vessel_curvature_std,0.015305945076445227
mutual_information,122,rgb_g_max,0.015134277097559545
mutual_information,123,temporal_vessel_density,0.01509292981848942
mutual_information,124,clinical_lesion_burden_score,0.01486231711354491
mutual_information,125,clinical_exudate_burden_score,0.014770866941579364
mutual_information,126,exudate_burden_score,0.014747126607662198
mutual_information,127,exudate_area,0.014554372248376302
mutual_information,128,lab_color_b_entropy,0.014519322783117294
mutual_information,129,lab_color_b_mean,0.014453385018929454
mutual_information,130,rgb_b_mean,0.014302601003880255
mutual_information,131,lab_b_mean,0.014251513893145162
mutual_information,132,lab_color_a_std,0.014152237073180585
mutual_information,133,stage_progression_score,0.014115212189847348
mutual_information,134,vessel_branchpoint_count,0.013808829903472875
mutual_information,135,rgb_r_entropy,0.013648368473168304
mutual_information,136,texture_kurtosis,0.013599436904040418
mutual_information,137,vessel_branching_count,0.013495713277160926
mutual_information,138,ma_count,0.013492724184529292
mutual_information,139,clinical_vessel_abnormality_score,0.01336631043719616
mutual_information,140,lab_color_l_max,0.01334015972177327
mutual_information,141,all_lesion_solidity_mean,0.013163404718353089
mutual_information,142,temporal_texture_std,0.011873165504245664
mutual_information,143,ma_distance_to_optic_disc_mean,0.011546366360760008
mutual_information,144,ma_distance_to_optic_disc_min,0.011241099081122252
mutual_information,145,ma_area,0.011111890820299397
mutual_information,146,all_lesion_perimeter_mean,0.010730367299834898
mutual_information,147,total_lesion_count,0.010650247888790654
mutual_information,148,quality_contrast,0.010565130068626472
mutual_information,149,rgb_g_std,0.010565130068626472
mutual_information,150,cotton_wool_distribution_entropy,0.010427145417875039
mutual_information,151,inferior_lesion_count,0.010421138586296674
mutual_information,152,advanced_dr_indicator_score,0.010167741927161966
mutual_information,153,hemorrhage_to_exudate_ratio,0.009805373482965729
mutual_information,154,rgb_g_mean,0.009721962429405595
mutual_information,155,quality_brightness,0.009721962429405595
mutual_information,156,lab_color_b_min,0.009632445999560035
mutual_information,157,vessel_curvature_max,0.00961869851221997
mutual_information,158,lab_color_b_max,0.009282266575964426
mutual_information,159,ma_max_area,0.009260138362373604
mutual_information,160,hard_exudate_distance_to_macula_mean,0.009215994109336378
mutual_information,161,soft_exudate_texture_mean,0.008952761661936037
mutual_information,162,hard_exudate_texture_mean,0.008941677954421134
mutual_information,163,hard_exudate_max_area,0.008699558167554855
mutual_information,164,rgb_b_min,0.008596878160824994
mutual_information,165,clinical_total_lesion_count,0.008204764687100186
mutual_information,166,rgb_r_mean,0.008111613427102426
mutual_information,167,soft_exudate_count,0.008069853695971574
mutual_information,168,ma_nasal_count,0.008053267049308532
mutual_information,169,inferior_lesion_density,0.008015168757052882
mutual_information,170,hsv_h_entropy,0.007829575708816483
mutual_information,171,ma_inferior_count,0.0074286200322957185
mutual_information,172,ma_density,0.007190926839182321
mutual_information,173,clinical_referable_pathology_score,0.006301059095856987
mutual_information,174,rgb_r_max,0.0061492973968855225
mutual_information,175,texture_lesion_interaction,0.005913951375044579
mutual_information,176,clinical_exudate_to_microaneurysm_ratio,0.005799841242296377
mutual_information,177,soft_exudate_brightness_mean,0.005752655850716604
mutual_information,178,rgb_b_entropy,0.005561011927297299
mutual_information,179,soft_exudate_max_area,0.005553386090436208
mutual_information,180,all_lesion_compactness_mean,0.005445479739894177
mutual_information,181,hsv_h_max,0.005323972380174347
mutual_information,182,hsv_h_min,0.00527578677149565
mutual_information,183,hsv_v_max,0.00527333631783522
mutual_information,184,rgb_g_entropy,0.004794858163756022
mutual_information,185,exudate_count,0.004581789657153612
mutual_information,186,lab_b_exudate_mean,0.004129096117593267
mutual_information,187,lesion_vessel_interaction,0.0038398454349202193
mutual_information,188,soft_exudate_distance_to_optic_disc_mean,0.003520907043049304
mutual_information,189,vessel_complexity_score,0.0034593649133745075
