model,status,best_value,best_params,f1_mean,recall_mean
Logistic Regression,resumed_completed,0.7737614239409958,"{""C"": 2.948100479464649}",0.7736834362734315,0.7798766756430678
Random Forest,resumed_completed,0.8015829418915023,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 280}",0.8015014821403806,0.8145975112163726
Extra Trees,resumed_completed,0.8097041040398185,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 11, ""n_estimators"": 160}",0.8096211305305246,0.8297350929391974
XGBoost,resumed_completed,0.8221577100342025,"{""colsample_bytree"": 0.9837994247098992, ""learning_rate"": 0.0859050677406432, ""max_depth"": 6, ""min_child_weight"": 1.3198227603900738, ""n_estimators"": 320, ""reg_alpha"": 0.714347816975902, ""reg_lambda"": 4.785525301974987, ""subsample"": 0.8154272560631404}",0.8220736902993325,0.840197348699743
LightGBM,resumed_completed,0.8229144073155571,"{""colsample_bytree"": 0.8751018359597045, ""learning_rate"": 0.0604356802554195, ""max_depth"": 10, ""min_child_samples"": 55, ""n_estimators"": 280, ""num_leaves"": 52, ""reg_alpha"": 0.0151710934948344, ""reg_lambda"": 2.834366099052528, ""subsample"": 0.6509337864470486}",0.8228298980984363,0.8450921712073054
CatBoost,resumed_completed,0.8098047472901982,"{""depth"": 4, ""iterations"": 240, ""l2_leaf_reg"": 8.006001249790211, ""learning_rate"": 0.1318053800152348}",0.8097219967457923,0.8275054440593482
HistGradientBoosting,resumed_completed,0.8223897888862832,"{""l2_regularization"": 6.246137137493112e-06, ""learning_rate"": 0.1180425197103201, ""max_iter"": 280, ""max_leaf_nodes"": 54, ""min_samples_leaf"": 30}",0.8223065930562221,0.8319583006111715
SVM RBF,resumed_completed,0.8275806516152763,"{""C"": 1.5559711774999547, ""gamma"": 0.0275635250978572}",0.8274933602175094,0.8729139776688278
Balanced Random Forest,resumed_completed,0.8034177614146201,"{""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 4, ""min_samples_split"": 9, ""n_estimators"": 320}",0.803334899214353,0.8286220026706239
