number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.8024685194965243,14.0,sqrt,5,12,240,0.8023847668735902,"{'accuracy': {'mean': 0.8185459247146201, 'std': 0.0061134448053595785}, 'balanced_accuracy': {'mean': 0.8205814188513507, 'std': 0.0067590061749993584}, 'brier_score': {'mean': 0.1353813833102529, 'std': 0.0012066543163007262}, 'cohen_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'f1': {'mean': 0.8023847668735902, 'std': 0.007663031569283231}, 'mean_absolute_stage_error': {'mean': 0.18145407528538, 'std': 0.006113444805359591}, 'precision': {'mean': 0.7701838447409071, 'std': 0.0057102378948449125}, 'quadratic_weighted_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'recall': {'mean': 0.8375262293416839, 'std': 0.014144639788941015}, 'roc_auc': {'mean': 0.8974289662687586, 'std': 0.002968816550945297}}",0.8375262293416839,COMPLETE
11,0.8024685194965243,14.0,sqrt,5,12,240,0.8023847668735902,"{'accuracy': {'mean': 0.8185459247146201, 'std': 0.0061134448053595785}, 'balanced_accuracy': {'mean': 0.8205814188513507, 'std': 0.0067590061749993584}, 'brier_score': {'mean': 0.13538138331025287, 'std': 0.001206654316300734}, 'cohen_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'f1': {'mean': 0.8023847668735902, 'std': 0.007663031569283231}, 'mean_absolute_stage_error': {'mean': 0.18145407528538, 'std': 0.006113444805359591}, 'precision': {'mean': 0.7701838447409071, 'std': 0.0057102378948449125}, 'quadratic_weighted_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'recall': {'mean': 0.8375262293416839, 'std': 0.014144639788941015}, 'roc_auc': {'mean': 0.8974289662687586, 'std': 0.002968816550945297}}",0.8375262293416839,COMPLETE
12,0.8024685194965243,14.0,sqrt,5,12,240,0.8023847668735902,"{'accuracy': {'mean': 0.8185459247146201, 'std': 0.0061134448053595785}, 'balanced_accuracy': {'mean': 0.8205814188513507, 'std': 0.0067590061749993584}, 'brier_score': {'mean': 0.1353813833102529, 'std': 0.0012066543163007349}, 'cohen_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'f1': {'mean': 0.8023847668735902, 'std': 0.007663031569283231}, 'mean_absolute_stage_error': {'mean': 0.18145407528538, 'std': 0.006113444805359591}, 'precision': {'mean': 0.7701838447409071, 'std': 0.0057102378948449125}, 'quadratic_weighted_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'recall': {'mean': 0.8375262293416839, 'std': 0.014144639788941015}, 'roc_auc': {'mean': 0.8974289662687586, 'std': 0.002968816550945297}}",0.8375262293416839,COMPLETE
13,0.7980909049738578,14.0,sqrt,5,10,240,0.7980077755625594,"{'accuracy': {'mean': 0.8149226498068224, 'std': 0.006167338972684058}, 'balanced_accuracy': {'mean': 0.8166784179563029, 'std': 0.007083624647243115}, 'brier_score': {'mean': 0.13526139447599225, 'std': 0.0011161730540559804}, 'cohen_kappa': {'mean': 0.6277334986269262, 'std': 0.012960403232182487}, 'f1': {'mean': 0.7980077755625594, 'std': 0.008202886296767926}, 'mean_absolute_stage_error': {'mean': 0.18507735019317773, 'std': 0.006167338972684064}, 'precision': {'mean': 0.7674441440398934, 'std': 0.00525288670536343}, 'quadratic_weighted_kappa': {'mean': 0.6277334986269262, 'std': 0.012960403232182487}, 'recall': {'mean': 0.8312941129837409, 'std': 0.016587364939937357}, 'roc_auc': {'mean': 0.8974178645112806, 'std': 0.0030421480014441197}}",0.8312941129837409,COMPLETE
14,0.7651806547447624,6.0,sqrt,6,10,240,0.7650968357526132,"{'accuracy': {'mean': 0.7735999229110846, 'std': 0.006125408523772985}, 'balanced_accuracy': {'mean': 0.7805216901843333, 'std': 0.006671976942222124}, 'brier_score': {'mean': 0.1608462610286292, 'std': 0.0013815552704809927}, 'cohen_kappa': {'mean': 0.5497806762867059, 'std': 0.012530293527195306}, 'f1': {'mean': 0.7650968357526132, 'std': 0.0073227227614876}, 'mean_absolute_stage_error': {'mean': 0.22640007708891546, 'std': 0.006125408523773003}, 'precision': {'mean': 0.7038151345214416, 'std': 0.005524804774817427}, 'quadratic_weighted_kappa': {'mean': 0.5497806762867059, 'std': 0.012530293527195306}, 'recall': {'mean': 0.8381899214915854, 'std': 0.013939097535485348}, 'roc_auc': {'mean': 0.8669753932259223, 'std': 0.0042241913788797795}}",0.8381899214915854,COMPLETE
15,0.7992677750745025,14.0,sqrt,3,12,280,0.7991844454655086,"{'accuracy': {'mean': 0.8158040426616194, 'std': 0.005280268426728911}, 'balanced_accuracy': {'mean': 0.8176793299575185, 'std': 0.00600058534826653}, 'brier_score': {'mean': 0.13535307908784497, 'std': 0.001047220743344281}, 'cohen_kappa': {'mean': 0.629591619943842, 'std': 0.011039515505102196}, 'f1': {'mean': 0.7991844454655086, 'std': 0.006896810968313768}, 'mean_absolute_stage_error': {'mean': 0.18419595733838054, 'std': 0.005280268426728897}, 'precision': {'mean': 0.7678713297501994, 'std': 0.004856730391947734}, 'quadratic_weighted_kappa': {'mean': 0.629591619943842, 'std': 0.011039515505102196}, 'recall': {'mean': 0.8332960899390811, 'std': 0.013901979239802152}, 'roc_auc': {'mean': 0.8971205680868193, 'std': 0.0029557643452854253}}",0.8332960899390811,COMPLETE
16,0.7975326979585776,14.0,sqrt,8,11,200,0.797449123484589,"{'accuracy': {'mean': 0.813258286698854, 'std': 0.004633978835947288}, 'balanced_accuracy': {'mean': 0.815669006814782, 'std': 0.005436441582741974}, 'brier_score': {'mean': 0.13686908351941676, 'std': 0.0012154505706391174}, 'cohen_kappa': {'mean': 0.6248977258984003, 'std': 0.009819886472485738}, 'f1': {'mean': 0.797449123484589, 'std': 0.006322941738209068}, 'mean_absolute_stage_error': {'mean': 0.18674171330114583, 'std': 0.004633978835947281}, 'precision': {'mean': 0.7625972024955795, 'std': 0.003069145364205194}, 'quadratic_weighted_kappa': {'mean': 0.6248977258984003, 'std': 0.009819886472485738}, 'recall': {'mean': 0.8357447398866842, 'std': 0.012999307706442214}, 'roc_auc': {'mean': 0.8958649863990111, 'std': 0.0035008964637570144}}",0.8357447398866842,COMPLETE
17,0.763907551706608,6.0,sqrt,5,9,280,0.7638240441716334,"{'accuracy': {'mean': 0.7728166650127068, 'std': 0.007321588774334673}, 'balanced_accuracy': {'mean': 0.7794888798356163, 'std': 0.00762677565679987}, 'brier_score': {'mean': 0.16062402430019013, 'std': 0.0014361593932456886}, 'cohen_kappa': {'mean': 0.5480176833815884, 'std': 0.014709564959207042}, 'f1': {'mean': 0.7638240441716334, 'std': 0.008023589776421721}, 'mean_absolute_stage_error': {'mean': 0.22718333498729323, 'std': 0.007321588774334639}, 'precision': {'mean': 0.7038211989864995, 'std': 0.006875020050474771}, 'quadratic_weighted_kappa': {'mean': 0.5480176833815884, 'std': 0.014709564959207042}, 'recall': {'mean': 0.8350753497452008, 'std': 0.012010027882715388}, 'roc_auc': {'mean': 0.8672114176855563, 'std': 0.004406491932849924}}",0.8350753497452008,COMPLETE
18,0.7997975198880809,14.0,,2,11,200,0.799714524330037,"{'accuracy': {'mean': 0.8170765371160595, 'std': 0.009017824716742177}, 'balanced_accuracy': {'mean': 0.8184567806082083, 'std': 0.008785307200298713}, 'brier_score': {'mean': 0.13497086124216137, 'std': 0.0021550278862831943}, 'cohen_kappa': {'mean': 0.6318028175391388, 'std': 0.017833178848360512}, 'f1': {'mean': 0.799714524330037, 'std': 0.009243256104411526}, 'mean_absolute_stage_error': {'mean': 0.1829234628839404, 'std': 0.00901782471674216}, 'precision': {'mean': 0.7717474781158612, 'std': 0.012572657043481135}, 'quadratic_weighted_kappa': {'mean': 0.6318028175391388, 'std': 0.017833178848360512}, 'recall': {'mean': 0.829955580439538, 'std': 0.01170677483498626}, 'roc_auc': {'mean': 0.892405363110002, 'std': 0.004144461021016828}}",0.829955580439538,COMPLETE
19,0.7972861213084772,14.0,log2,6,11,280,0.797202613723955,"{'accuracy': {'mean': 0.8131601517424348, 'std': 0.006374138734896655}, 'balanced_accuracy': {'mean': 0.8155092317047211, 'std': 0.0074349060864809325}, 'brier_score': {'mean': 0.13773225017465057, 'std': 0.0012203518595643179}, 'cohen_kappa': {'mean': 0.6246443383585965, 'std': 0.013480224424025368}, 'f1': {'mean': 0.797202613723955, 'std': 0.008584134304286787}, 'mean_absolute_stage_error': {'mean': 0.18683984825756522, 'std': 0.006374138734896644}, 'precision': {'mean': 0.7627417325856477, 'std': 0.003360090906070425}, 'quadratic_weighted_kappa': {'mean': 0.6246443383585965, 'std': 0.013480224424025368}, 'recall': {'mean': 0.8350758452227295, 'std': 0.016870366481146745}, 'roc_auc': {'mean': 0.8953682668490052, 'std': 0.003354556053615596}}",0.8350758452227295,COMPLETE
