number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.805421830292872,18.0,,8,5,280,0.8053368759387393,"{'accuracy': {'mean': 0.8193288949677908, 'std': 0.006479919004569293}, 'balanced_accuracy': {'mean': 0.8225683310582566, 'std': 0.0067380554430193}, 'brier_score': {'mean': 0.1330160976318234, 'std': 0.0010971398100661724}, 'cohen_kappa': {'mean': 0.6376324227745972, 'std': 0.01307130934710503}, 'f1': {'mean': 0.8053368759387393, 'std': 0.0073098011461190104}, 'mean_absolute_stage_error': {'mean': 0.18067110503220904, 'std': 0.006479919004569274}, 'precision': {'mean': 0.7656170853414281, 'std': 0.007946116068933817}, 'quadratic_weighted_kappa': {'mean': 0.6376324227745972, 'std': 0.01307130934710503}, 'recall': {'mean': 0.8495435413265421, 'std': 0.012673911090505417}, 'roc_auc': {'mean': 0.9019343323630812, 'std': 0.0028851631691029713}}",0.8495435413265421,COMPLETE
11,0.805421830292872,18.0,,8,5,280,0.8053368759387393,"{'accuracy': {'mean': 0.8193288949677908, 'std': 0.006479919004569293}, 'balanced_accuracy': {'mean': 0.8225683310582566, 'std': 0.0067380554430193}, 'brier_score': {'mean': 0.1330160976318234, 'std': 0.0010971398100661724}, 'cohen_kappa': {'mean': 0.6376324227745972, 'std': 0.01307130934710503}, 'f1': {'mean': 0.8053368759387393, 'std': 0.0073098011461190104}, 'mean_absolute_stage_error': {'mean': 0.18067110503220904, 'std': 0.006479919004569274}, 'precision': {'mean': 0.7656170853414281, 'std': 0.007946116068933817}, 'quadratic_weighted_kappa': {'mean': 0.6376324227745972, 'std': 0.01307130934710503}, 'recall': {'mean': 0.8495435413265421, 'std': 0.012673911090505417}, 'roc_auc': {'mean': 0.9019343323630812, 'std': 0.0028851631691029713}}",0.8495435413265421,COMPLETE
12,0.805421830292872,18.0,,8,4,280,0.8053368759387393,"{'accuracy': {'mean': 0.8193288949677908, 'std': 0.006479919004569293}, 'balanced_accuracy': {'mean': 0.8225683310582566, 'std': 0.0067380554430193}, 'brier_score': {'mean': 0.1330160976318234, 'std': 0.0010971398100661724}, 'cohen_kappa': {'mean': 0.6376324227745972, 'std': 0.01307130934710503}, 'f1': {'mean': 0.8053368759387393, 'std': 0.0073098011461190104}, 'mean_absolute_stage_error': {'mean': 0.18067110503220904, 'std': 0.006479919004569274}, 'precision': {'mean': 0.7656170853414281, 'std': 0.007946116068933817}, 'quadratic_weighted_kappa': {'mean': 0.6376324227745972, 'std': 0.01307130934710503}, 'recall': {'mean': 0.8495435413265421, 'std': 0.012673911090505417}, 'roc_auc': {'mean': 0.9019343323630812, 'std': 0.0028851631691029713}}",0.8495435413265421,COMPLETE
13,0.8059414163822464,18.0,,6,4,280,0.805856996103342,"{'accuracy': {'mean': 0.8210912971504427, 'std': 0.007908587427291594}, 'balanced_accuracy': {'mean': 0.8235695130171825, 'std': 0.008458697371100504}, 'brier_score': {'mean': 0.130974896624326, 'std': 0.001002626800163916}, 'cohen_kappa': {'mean': 0.6405986222505586, 'std': 0.016139899268479467}, 'f1': {'mean': 0.805856996103342, 'std': 0.009333563187140861}, 'mean_absolute_stage_error': {'mean': 0.17890870284955723, 'std': 0.007908587427291598}, 'precision': {'mean': 0.7710038579043756, 'std': 0.008637429722734008}, 'quadratic_weighted_kappa': {'mean': 0.6405986222505586, 'std': 0.016139899268479467}, 'recall': {'mean': 0.8442027890430099, 'std': 0.01637258463920605}, 'roc_auc': {'mean': 0.9032916391914683, 'std': 0.0026689312409856523}}",0.8442027890430099,COMPLETE
14,0.758700351632906,6.0,,6,4,320,0.7586160206886001,"{'accuracy': {'mean': 0.7639060876752178, 'std': 0.006991971159422771}, 'balanced_accuracy': {'mean': 0.7724149739627226, 'std': 0.007186148795803938}, 'brier_score': {'mean': 0.16453192726850024, 'std': 0.0015577017050947706}, 'cohen_kappa': {'mean': 0.5320981352479899, 'std': 0.013902811421188379}, 'f1': {'mean': 0.7586160206886001, 'std': 0.0074584445124825545}, 'mean_absolute_stage_error': {'mean': 0.2360939123247821, 'std': 0.006991971159422736}, 'precision': {'mean': 0.6894581398986198, 'std': 0.007110836532839015}, 'quadratic_weighted_kappa': {'mean': 0.5320981352479899, 'std': 0.013902811421188379}, 'recall': {'mean': 0.8433094430584838, 'std': 0.012603228058552105}, 'roc_auc': {'mean': 0.8632216372393813, 'std': 0.004581057137665546}}",0.8433094430584838,COMPLETE
15,0.8063702641423512,18.0,,6,8,240,0.8062857993447909,"{'accuracy': {'mean': 0.8214832616857064, 'std': 0.007336629517215421}, 'balanced_accuracy': {'mean': 0.8239670079483004, 'std': 0.007881692828970789}, 'brier_score': {'mean': 0.13095252496644924, 'std': 0.0011590180077487681}, 'cohen_kappa': {'mean': 0.6413866932520371, 'std': 0.014999322774005681}, 'f1': {'mean': 0.8062857993447909, 'std': 0.00872614886853665}, 'mean_absolute_stage_error': {'mean': 0.17851673831429365, 'std': 0.007336629517215421}, 'precision': {'mean': 0.7714033373818184, 'std': 0.007988915786011292}, 'quadratic_weighted_kappa': {'mean': 0.6413866932520371, 'std': 0.014999322774005681}, 'recall': {'mean': 0.8446479756026865, 'std': 0.01557706964278075}, 'roc_auc': {'mean': 0.9032792675636567, 'std': 0.0029797401647666034}}",0.8446479756026865,COMPLETE
16,0.7581025054810743,6.0,,5,9,240,0.7580183082166058,"{'accuracy': {'mean': 0.763514171080822, 'std': 0.005287888314461072}, 'balanced_accuracy': {'mean': 0.7719211705217586, 'std': 0.005395913526548353}, 'brier_score': {'mean': 0.16468614665008313, 'std': 0.0016271756832943538}, 'cohen_kappa': {'mean': 0.5312353048359207, 'std': 0.01042949728272019}, 'f1': {'mean': 0.7580183082166058, 'std': 0.005740292110860882}, 'mean_absolute_stage_error': {'mean': 0.23648582891917794, 'std': 0.005287888314461056}, 'precision': {'mean': 0.6894040089170688, 'std': 0.006390987044879799}, 'quadratic_weighted_kappa': {'mean': 0.5312353048359207, 'std': 0.01042949728272019}, 'recall': {'mean': 0.8419726446856318, 'std': 0.012733492900376535}, 'roc_auc': {'mean': 0.8629130176070738, 'std': 0.004859075253184811}}",0.8419726446856318,COMPLETE
17,0.8061305247747858,14.0,,6,12,320,0.8060457262483359,"{'accuracy': {'mean': 0.8205040215196966, 'std': 0.008408756148341837}, 'balanced_accuracy': {'mean': 0.8234498023756075, 'std': 0.008925653672056142}, 'brier_score': {'mean': 0.132300874495688, 'std': 0.001189199806915828}, 'cohen_kappa': {'mean': 0.6397590400815544, 'std': 0.01709814595033435}, 'f1': {'mean': 0.8060457262483359, 'std': 0.009754283917581633}, 'mean_absolute_stage_error': {'mean': 0.17949597848030324, 'std': 0.008408756148341856}, 'precision': {'mean': 0.7682093076838195, 'std': 0.008968076819144122}, 'quadratic_weighted_kappa': {'mean': 0.6397590400815544, 'std': 0.01709814595033435}, 'recall': {'mean': 0.8479852644982918, 'std': 0.016484528196268024}, 'roc_auc': {'mean': 0.9026241278489131, 'std': 0.0030330552177891138}}",0.8479852644982918,COMPLETE
18,0.8074578968218052,18.0,,5,9,200,0.8073741888661703,"{'accuracy': {'mean': 0.8243232307542584, 'std': 0.006519336760101744}, 'balanced_accuracy': {'mean': 0.8256911679048402, 'std': 0.007252210347154137}, 'brier_score': {'mean': 0.1296703486558524, 'std': 0.0010651426408250157}, 'cohen_kappa': {'mean': 0.6462764941828975, 'std': 0.013529809982006012}, 'f1': {'mean': 0.8073741888661703, 'std': 0.008219120691823168}, 'mean_absolute_stage_error': {'mean': 0.17567676924574155, 'std': 0.006519336760101777}, 'precision': {'mean': 0.7798127183106661, 'std': 0.005458723274572268}, 'quadratic_weighted_kappa': {'mean': 0.6462764941828975, 'std': 0.013529809982006012}, 'recall': {'mean': 0.8370795563494207, 'std': 0.014804077153326073}, 'roc_auc': {'mean': 0.9043280524642514, 'std': 0.002542261741637243}}",0.8370795563494207,COMPLETE
19,0.794875605956303,18.0,log2,3,10,200,0.794790429107986,"{'accuracy': {'mean': 0.8065017884340738, 'std': 0.0026062918991666935}, 'balanced_accuracy': {'mean': 0.8113538681962925, 'std': 0.00314251571688804}, 'brier_score': {'mean': 0.14602622588222153, 'std': 0.0014870483839122919}, 'cohen_kappa': {'mean': 0.6132800274322143, 'std': 0.005570361473623738}, 'f1': {'mean': 0.794790429107986, 'std': 0.0036482645411571157}, 'mean_absolute_stage_error': {'mean': 0.19349821156592611, 'std': 0.002606291899166681}, 'precision': {'mean': 0.7449909786703819, 'std': 0.001639481886516904}, 'quadratic_weighted_kappa': {'mean': 0.6132800274322143, 'std': 0.005570361473623738}, 'recall': {'mean': 0.851768483169867, 'std': 0.008172678449995835}, 'roc_auc': {'mean': 0.8898396754105233, 'std': 0.003864847549795528}}",0.851768483169867,COMPLETE
