number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.7981763663786998,18.0,sqrt,5,5,240,0.7980943944524566,"{'accuracy': {'mean': 0.8175662530807999, 'std': 0.006702627673612115}, 'balanced_accuracy': {'mean': 0.8177978107093729, 'std': 0.007301591492925593}, 'brier_score': {'mean': 0.13420910576395165, 'std': 0.001094901337163775}, 'cohen_kappa': {'mean': 0.6319174288491851, 'std': 0.013866505361855117}, 'f1': {'mean': 0.7980943944524566, 'std': 0.00831368301554251}, 'mean_absolute_stage_error': {'mean': 0.18243374691919997, 'std': 0.006702627673612113}, 'precision': {'mean': 0.77764442444978, 'std': 0.0055606534838385105}, 'quadratic_weighted_kappa': {'mean': 0.6319174288491851, 'std': 0.013866505361855117}, 'recall': {'mean': 0.8197192624321505, 'std': 0.013127686337160755}, 'roc_auc': {'mean': 0.8981219191733889, 'std': 0.0026356328868899393}}",0.8197192624321505,COMPLETE
11,0.7999907499768905,14.0,sqrt,5,10,240,0.7999084220004951,"{'accuracy': {'mean': 0.818839035180447, 'std': 0.007493914400935211}, 'balanced_accuracy': {'mean': 0.8193162060905846, 'std': 0.008063649203909489}, 'brier_score': {'mean': 0.1345993491817331, 'std': 0.0012854711958085723}, 'cohen_kappa': {'mean': 0.6346500830869054, 'std': 0.015403568362863334}, 'f1': {'mean': 0.7999084220004951, 'std': 0.009104720732179454}, 'mean_absolute_stage_error': {'mean': 0.181160964819553, 'std': 0.007493914400935182}, 'precision': {'mean': 0.7779421984205908, 'std': 0.0074944414789399234}, 'quadratic_weighted_kappa': {'mean': 0.6346500830869054, 'std': 0.015403568362863334}, 'recall': {'mean': 0.8232797639545053, 'std': 0.014891697136873099}, 'roc_auc': {'mean': 0.897722506689116, 'std': 0.003143914540707143}}",0.8232797639545053,COMPLETE
12,0.7999907499768905,14.0,sqrt,5,9,240,0.7999084220004951,"{'accuracy': {'mean': 0.818839035180447, 'std': 0.007493914400935211}, 'balanced_accuracy': {'mean': 0.8193162060905846, 'std': 0.008063649203909489}, 'brier_score': {'mean': 0.1345993491817331, 'std': 0.0012854711958085723}, 'cohen_kappa': {'mean': 0.6346500830869054, 'std': 0.015403568362863334}, 'f1': {'mean': 0.7999084220004951, 'std': 0.009104720732179454}, 'mean_absolute_stage_error': {'mean': 0.181160964819553, 'std': 0.007493914400935182}, 'precision': {'mean': 0.7779421984205908, 'std': 0.0074944414789399234}, 'quadratic_weighted_kappa': {'mean': 0.6346500830869054, 'std': 0.015403568362863334}, 'recall': {'mean': 0.8232797639545053, 'std': 0.014891697136873099}, 'roc_auc': {'mean': 0.897722506689116, 'std': 0.003143914540707143}}",0.8232797639545053,COMPLETE
13,0.8009071252860539,18.0,sqrt,3,12,240,0.8008253534831846,"{'accuracy': {'mean': 0.8210914409730462, 'std': 0.00926749224541603}, 'balanced_accuracy': {'mean': 0.8207309897027791, 'std': 0.009801109993864802}, 'brier_score': {'mean': 0.13384435836296454, 'std': 0.001241930832590963}, 'cohen_kappa': {'mean': 0.6385661564512994, 'std': 0.018975925452612737}, 'f1': {'mean': 0.8008253534831846, 'std': 0.011018112842085752}, 'mean_absolute_stage_error': {'mean': 0.1789085590269538, 'std': 0.009267492245416049}, 'precision': {'mean': 0.7847041375394367, 'std': 0.009012676019309699}, 'quadratic_weighted_kappa': {'mean': 0.6385661564512994, 'std': 0.018975925452612737}, 'recall': {'mean': 0.8177180286931037, 'std': 0.015640162194807312}, 'roc_auc': {'mean': 0.8981257222597032, 'std': 0.0030821019848374554}}",0.8177180286931037,COMPLETE
14,0.7631985073182713,6.0,sqrt,2,12,200,0.763115222302255,"{'accuracy': {'mean': 0.7725234107242762, 'std': 0.0074199138622961375}, 'balanced_accuracy': {'mean': 0.7789882496329141, 'std': 0.007579161671755719}, 'brier_score': {'mean': 0.16066755919359055, 'std': 0.001423537782683907}, 'cohen_kappa': {'mean': 0.5472583169734789, 'std': 0.014774752320067232}, 'f1': {'mean': 0.763115222302255, 'std': 0.00788997383808332}, 'mean_absolute_stage_error': {'mean': 0.22747658927572373, 'std': 0.007419913862296119}, 'precision': {'mean': 0.7042273793946581, 'std': 0.00777065495401077}, 'quadratic_weighted_kappa': {'mean': 0.5472583169734789, 'std': 0.014774752320067232}, 'recall': {'mean': 0.8328501601631112, 'std': 0.012145007228207752}, 'roc_auc': {'mean': 0.8664522088540269, 'std': 0.004412609768329376}}",0.8328501601631112,COMPLETE
15,0.7983104676977623,18.0,sqrt,3,4,280,0.7982299203189622,"{'accuracy': {'mean': 0.8208952669419431, 'std': 0.008534910600088257}, 'balanced_accuracy': {'mean': 0.8192430365888346, 'std': 0.009058494017431425}, 'brier_score': {'mean': 0.132288931662397, 'std': 0.0012819834206410068}, 'cohen_kappa': {'mean': 0.6372400598246565, 'std': 0.017525616289623017}, 'f1': {'mean': 0.7982299203189622, 'std': 0.010327111727282413}, 'mean_absolute_stage_error': {'mean': 0.17910473305805685, 'std': 0.00853491060008824}, 'precision': {'mean': 0.7912452152504785, 'std': 0.009125127424908185}, 'quadratic_weighted_kappa': {'mean': 0.6372400598246565, 'std': 0.017525616289623017}, 'recall': {'mean': 0.8054737880000296, 'std': 0.015580735778322304}, 'roc_auc': {'mean': 0.9000837275507816, 'std': 0.002886410290199467}}",0.8054737880000296,COMPLETE
16,0.7984338651175715,18.0,sqrt,3,11,160,0.7983525386003574,"{'accuracy': {'mean': 0.8193288949677908, 'std': 0.0066111878439996065}, 'balanced_accuracy': {'mean': 0.8186800748897827, 'std': 0.007505064241066995}, 'brier_score': {'mean': 0.1338870987852685, 'std': 0.000772570214822454}, 'cohen_kappa': {'mean': 0.6348076509527895, 'std': 0.013892547639685964}, 'f1': {'mean': 0.7983525386003574, 'std': 0.00882955812515194}, 'mean_absolute_stage_error': {'mean': 0.18067110503220907, 'std': 0.0066111878439996325}, 'precision': {'mean': 0.784155208932306, 'std': 0.006016819383399204}, 'quadratic_weighted_kappa': {'mean': 0.6348076509527895, 'std': 0.013892547639685964}, 'recall': {'mean': 0.8132651721412805, 'std': 0.01684541674007369}, 'roc_auc': {'mean': 0.897829362549653, 'std': 0.0021261321121723675}}",0.8132651721412805,COMPLETE
17,0.8005056274475381,18.0,sqrt,4,8,200,0.8004242341895008,"{'accuracy': {'mean': 0.8214828781587638, 'std': 0.010300809858668679}, 'balanced_accuracy': {'mean': 0.8206746181663058, 'std': 0.01090853495417629}, 'brier_score': {'mean': 0.13325802178480653, 'std': 0.0010655109202865726}, 'cohen_kappa': {'mean': 0.6390265758366558, 'std': 0.02112535321054721}, 'f1': {'mean': 0.8004242341895008, 'std': 0.01230630148567105}, 'mean_absolute_stage_error': {'mean': 0.17851712184123616, 'std': 0.010300809858668682}, 'precision': {'mean': 0.7874310699269782, 'std': 0.009538327899167797}, 'quadratic_weighted_kappa': {'mean': 0.6390265758366558, 'std': 0.02112535321054721}, 'recall': {'mean': 0.8139325803726487, 'std': 0.01683519001633602}, 'roc_auc': {'mean': 0.8988749924827063, 'std': 0.0028036010812294357}}",0.8139325803726487,COMPLETE
18,0.7607188659299459,6.0,,2,4,280,0.7606344457253632,"{'accuracy': {'mean': 0.7662549984347307, 'std': 0.004406340721923149}, 'balanced_accuracy': {'mean': 0.7746092976657276, 'std': 0.004648765874970605}, 'brier_score': {'mean': 0.1552452827386813, 'std': 0.0023781235769978802}, 'cohen_kappa': {'mean': 0.5365816122544249, 'std': 0.008849378790261896}, 'f1': {'mean': 0.7606344457253632, 'std': 0.005072464419179892}, 'mean_absolute_stage_error': {'mean': 0.23374500156526934, 'std': 0.004406340721923167}, 'precision': {'mean': 0.6921889254652203, 'std': 0.0047700623588926945}, 'quadratic_weighted_kappa': {'mean': 0.5365816122544249, 'std': 0.008849378790261896}, 'recall': {'mean': 0.8442020458267168, 'std': 0.010624977082864029}, 'roc_auc': {'mean': 0.865623947352715, 'std': 0.005723707599784588}}",0.8442020458267168,COMPLETE
19,0.7937397234704997,18.0,log2,6,6,120,0.7936574401118557,"{'accuracy': {'mean': 0.8117891867455006, 'std': 0.005040232911081061}, 'balanced_accuracy': {'mean': 0.8129735479262464, 'std': 0.005530471343951447}, 'brier_score': {'mean': 0.13753643983472144, 'std': 0.001124092833127471}, 'cohen_kappa': {'mean': 0.6210486773072412, 'std': 0.010429201463303754}, 'f1': {'mean': 0.7936574401118557, 'std': 0.00632251812204671}, 'mean_absolute_stage_error': {'mean': 0.18821081325449937, 'std': 0.005040232911081055}, 'precision': {'mean': 0.7665531093660722, 'std': 0.00499301462607858}, 'quadratic_weighted_kappa': {'mean': 0.6210486773072412, 'std': 0.010429201463303754}, 'recall': {'mean': 0.822833586439771, 'std': 0.011382942095447839}, 'roc_auc': {'mean': 0.8937103894359089, 'std': 0.0031287400820616917}}",0.822833586439771,COMPLETE
