trial,state,value,best_value,f1,recall,params
0,COMPLETE,0.8002236209510818,0.8002236209510818,0.8001419831005624,0.8163785051938433,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.10550756919226546, ""l2_leaf_reg"": 7.585243326167403}"
1,COMPLETE,0.7154022211347774,0.8002236209510818,0.7153294858263054,0.7273530847192252,"{""iterations"": 80, ""depth"": 3, ""learning_rate"": 0.012055838049211991, ""l2_leaf_reg"": 10.527937603524286}"
2,COMPLETE,0.7579436499704274,0.8002236209510818,0.757866151958531,0.7749801189641548,"{""iterations"": 200, ""depth"": 5, ""learning_rate"": 0.010685033500506827, ""l2_leaf_reg"": 11.669008373781937}"
3,COMPLETE,0.7577169321412199,0.8002236209510818,0.7576395010435638,0.7743109765614357,"{""iterations"": 240, ""depth"": 3, ""learning_rate"": 0.017954792739743507, ""l2_leaf_reg"": 3.017449608387772}"
4,COMPLETE,0.772756526497889,0.8002236209510818,0.7726777820874948,0.7874441039412761,"{""iterations"": 120, ""depth"": 4, ""learning_rate"": 0.04016365455719544, ""l2_leaf_reg"": 4.203520542178461}"
5,COMPLETE,0.7638401195216151,0.8002236209510818,0.7637621319779202,0.7798754369492459,"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.025609476007275242, ""l2_leaf_reg"": 5.029980276230608}"
6,COMPLETE,0.768335596190335,0.8002236209510818,0.7682570966944834,0.7849949585161439,"{""iterations"": 160, ""depth"": 5, ""learning_rate"": 0.01901656047035859, ""l2_leaf_reg"": 6.6565788225497275}"
7,COMPLETE,0.7865767621699069,0.8002236209510818,0.7864965932616174,0.8016890828958679,"{""iterations"": 160, ""depth"": 3, ""learning_rate"": 0.07068239480981442, ""l2_leaf_reg"": 2.875765360560207}"
8,COMPLETE,0.8058576007975639,0.8058576007975639,0.8057754062780408,0.8219451952305332,"{""iterations"": 80, ""depth"": 5, ""learning_rate"": 0.22381833088786565, ""l2_leaf_reg"": 9.892370829281072}"
9,COMPLETE,0.7841736949724839,0.8058576007975639,0.7840936821891636,0.8001278332024448,"{""iterations"": 120, ""depth"": 3, ""learning_rate"": 0.09047252745704347, ""l2_leaf_reg"": 5.841677431135614}"
10,COMPLETE,0.7947020140812493,0.8058576007975639,0.7946209994175918,0.8101466365746648,"{""iterations"": 80, ""depth"": 4, ""learning_rate"": 0.22664947481511868, ""l2_leaf_reg"": 1.19758063176302}"
11,COMPLETE,0.8068800297776264,0.8068800297776264,0.8067978799501765,0.8214982744995056,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.23970523483895967, ""l2_leaf_reg"": 8.45716756215759}"
12,COMPLETE,0.8023846990181228,0.8068800297776264,0.8023028602762393,0.8183874188345873,"{""iterations"": 80, ""depth"": 5, ""learning_rate"": 0.24667734796935947, ""l2_leaf_reg"": 8.684865239912481}"
13,COMPLETE,0.8017125014248845,0.8068800297776264,0.8016308189813875,0.8168244349698132,"{""iterations"": 120, ""depth"": 4, ""learning_rate"": 0.15723331519003947, ""l2_leaf_reg"": 9.301112707496978}"
14,COMPLETE,0.7967845058946195,0.8068800297776264,0.7967029567841255,0.8154911049396633,"{""iterations"": 80, ""depth"": 5, ""learning_rate"": 0.1548019839502522, ""l2_leaf_reg"": 9.65220308100483}"
15,COMPLETE,0.8053296163773043,0.8068800297776264,0.8052475557853572,0.8206059194700372,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.16324582969148285, ""l2_leaf_reg"": 8.005942324644032}"
16,COMPLETE,0.7902699955092157,0.8068800297776264,0.7901896040076463,0.8039150156942508,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.05900615756170461, ""l2_leaf_reg"": 11.956181849221789}"
17,COMPLETE,0.7954147957133384,0.8068800297776264,0.7953335140616145,0.8128165172389019,"{""iterations"": 80, ""depth"": 5, ""learning_rate"": 0.1201614811943574, ""l2_leaf_reg"": 10.095488519471454}"
18,COMPLETE,0.807409015037783,0.807409015037783,0.8073266200975995,0.8239494018347532,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.24794664483519271, ""l2_leaf_reg"": 7.443663306654929}"
19,COMPLETE,0.8048247868913956,0.807409015037783,0.8047428151385695,0.8197175282607996,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.1723123377354733, ""l2_leaf_reg"": 6.990305838006984}"
20,COMPLETE,0.8003288709011578,0.807409015037783,0.8002471882842437,0.816826169141164,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.13550245669712846, ""l2_leaf_reg"": 6.005180285326546}"
21,COMPLETE,0.8029222439265524,0.807409015037783,0.8028409393837667,0.8130454278572332,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.24894140861231562, ""l2_leaf_reg"": 8.365981962254443}"
22,COMPLETE,0.8015264108382913,0.807409015037783,0.8014449733093368,0.814375289544681,"{""iterations"": 160, ""depth"": 4, ""learning_rate"": 0.20075457637644764, ""l2_leaf_reg"": 10.799623084208337}"
23,COMPLETE,0.8055676418442195,0.807409015037783,0.8054857369313121,0.8190491290743737,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.19368042230381408, ""l2_leaf_reg"": 8.874793659456577}"
24,COMPLETE,0.7886772212711824,0.807409015037783,0.7885966739914779,0.805472797044972,"{""iterations"": 80, ""depth"": 5, ""learning_rate"": 0.08384518270837825, ""l2_leaf_reg"": 7.346440912786456}"
25,COMPLETE,0.8075547375896088,0.8075547375896088,0.8074726991702812,0.8203841932758745,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.12149450835445107, ""l2_leaf_reg"": 9.417791745147898}"
26,COMPLETE,0.799715163831602,0.8075547375896088,0.7996334368199013,0.8172701170070186,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.050486260529013643, ""l2_leaf_reg"": 6.294275748510084}"
27,COMPLETE,0.8098047472901982,0.8098047472901982,0.8097219967457923,0.8275054440593482,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.13180538001523487, ""l2_leaf_reg"": 8.006001249790211}"
28,COMPLETE,0.8065463970357533,0.8098047472901982,0.8064639354042944,0.8246163145885926,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.11405109264278929, ""l2_leaf_reg"": 5.191327433955594}"
29,COMPLETE,0.807341300475249,0.8098047472901982,0.8072589282279363,0.8237224731265375,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.10166230576520059, ""l2_leaf_reg"": 7.693779867209996}"
30,COMPLETE,0.806773095337547,0.8098047472901982,0.8066908785958569,0.8221674169022248,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.12890188130047464, ""l2_leaf_reg"": 7.584914066552962}"
31,COMPLETE,0.8081960776322095,0.8098047472901982,0.8081134381986393,0.8263943357008902,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.09823691526088986, ""l2_leaf_reg"": 7.8745781714218905}"
32,COMPLETE,0.8036803099200758,0.8098047472901982,0.8035982491547117,0.8206076536413882,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.07595433504998123, ""l2_leaf_reg"": 10.804051472199436}"
33,COMPLETE,0.7949998665938505,0.8098047472901982,0.7949188073372154,0.8105925663506346,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.0646659972112201, ""l2_leaf_reg"": 9.179352233314775}"
34,COMPLETE,0.8034169391614189,0.8098047472901982,0.8033351010141084,0.818381473104241,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.09978304766846408, ""l2_leaf_reg"": 7.0621962125568345}"
35,COMPLETE,0.7869684325663355,0.8098047472901982,0.7868881524481146,0.8028011822093838,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.03949956334348077, ""l2_leaf_reg"": 8.076054737622819}"
36,COMPLETE,0.8039957557320856,0.8098047472901982,0.8039134944965133,0.822612355723137,"{""iterations"": 240, ""depth"": 3, ""learning_rate"": 0.13507134543544705, ""l2_leaf_reg"": 11.245738599027096}"
37,COMPLETE,0.7931220012832638,0.8098047472901982,0.793041164941969,0.8083634129483143,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.05462594719930046, ""l2_leaf_reg"": 10.30498461776609}"
38,COMPLETE,0.7865362484589785,0.8098047472901982,0.7864563466873986,0.7990177157990443,"{""iterations"": 240, ""depth"": 3, ""learning_rate"": 0.04473377291327849, ""l2_leaf_reg"": 5.356910488272616}"
39,COMPLETE,0.8031242476537108,0.8098047472901982,0.8030422759752064,0.8197167850445062,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.08589297877212254, ""l2_leaf_reg"": 4.009295066650935}"
40,COMPLETE,0.7729474585068827,0.8098047472901982,0.7728687810107289,0.7867749615385569,"{""iterations"": 240, ""depth"": 3, ""learning_rate"": 0.0300047379861814, ""l2_leaf_reg"": 6.6697402168212765}"
41,COMPLETE,0.806117723175228,0.8098047472901982,0.8060354845086571,0.8223866657087434,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.10399138655102114, ""l2_leaf_reg"": 7.555535425533129}"
42,COMPLETE,0.8067633194195617,0.8098047472901982,0.8066807465781715,0.8257284139021085,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.09919370511816991, ""l2_leaf_reg"": 7.900209373967643}"
43,COMPLETE,0.8031242618537333,0.8098047472901982,0.8030424013851603,0.8186046857309904,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.07409463712506191, ""l2_leaf_reg"": 9.346434582049753}"
44,COMPLETE,0.8053058457992591,0.8098047472901982,0.8052238516260749,0.8199417318426067,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.18158183183802265, ""l2_leaf_reg"": 8.807938863090836}"
45,COMPLETE,0.7527716367660543,0.8098047472901982,0.7526948288304862,0.7680793556810215,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.013057564914279146, ""l2_leaf_reg"": 6.828761993197297}"
46,COMPLETE,0.8064769125971568,0.8098047472901982,0.8063952744988987,0.8163809825814875,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.14550098989640695, ""l2_leaf_reg"": 8.316575600594929}"
47,COMPLETE,0.8035774528672105,0.8098047472901982,0.8034956365704591,0.8181629675140158,"{""iterations"": 200, ""depth"": 4, ""learning_rate"": 0.11411910331095244, ""l2_leaf_reg"": 6.176199119574934}"
48,COMPLETE,0.8089861593191862,0.8098047472901982,0.8089040762573332,0.8208306185293732,"{""iterations"": 240, ""depth"": 4, ""learning_rate"": 0.2048209501814164, ""l2_leaf_reg"": 7.283587819046219}"
49,COMPLETE,0.8044471402102429,0.8098047472901982,0.8043651684326429,0.819717775999564,"{""iterations"": 200, ""depth"": 3, ""learning_rate"": 0.20510281158859356, ""l2_leaf_reg"": 9.548691918429283}"
