number,value,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.8157420244263962,4.5224138961273885,0.2237998777207589,240,62,5,0.8156594735346605,"{'accuracy': {'mean': 0.8358789454734952, 'std': 0.006043410355463992}, 'balanced_accuracy': {'mean': 0.834768741421042, 'std': 0.006720719177871249}, 'brier_score': {'mean': 0.12479261720716747, 'std': 0.002593597401548855}, 'cohen_kappa': {'mean': 0.6678001273621446, 'std': 0.01260699944739367}, 'f1': {'mean': 0.8156594735346605, 'std': 0.007773699338640163}, 'mean_absolute_stage_error': {'mean': 0.16412105452650483, 'std': 0.006043410355463992}, 'precision': {'mean': 0.8061131707040637, 'std': 0.00422796738984518}, 'quadratic_weighted_kappa': {'mean': 0.6678001273621446, 'std': 0.01260699944739367}, 'recall': {'mean': 0.8255089173568255, 'std': 0.012928572407062806}, 'roc_auc': {'mean': 0.9168915806541473, 'std': 0.002543438230648492}}",0.8255089173568255,COMPLETE
11,0.8154976589513202,8.895595288274592,0.19381072760546475,240,62,8,0.815415019121368,"{'accuracy': {'mean': 0.8353894212722259, 'std': 0.0027608029710252157}, 'balanced_accuracy': {'mean': 0.8344275604574751, 'std': 0.0025571109388605067}, 'brier_score': {'mean': 0.12352126155987737, 'std': 0.0015304358884649484}, 'cohen_kappa': {'mean': 0.6669301824400398, 'std': 0.005364218484135268}, 'f1': {'mean': 0.815415019121368, 'std': 0.002802702796035815}, 'mean_absolute_stage_error': {'mean': 0.16461057872777402, 'std': 0.0027608029710252226}, 'precision': {'mean': 0.8048229646260285, 'std': 0.006816040847654466}, 'quadratic_weighted_kappa': {'mean': 0.6669301824400398, 'std': 0.005364218484135268}, 'recall': {'mean': 0.826398299521121, 'std': 0.007439568284160535}, 'roc_auc': {'mean': 0.9155932332296143, 'std': 0.0025640242182684743}}",0.826398299521121,COMPLETE
12,0.8137466709524017,0.04733242076166055,0.24577748337527142,240,43,7,0.8136648770016869,"{'accuracy': {'mean': 0.8351934390045941, 'std': 0.002593222312413007}, 'balanced_accuracy': {'mean': 0.8333442526534744, 'std': 0.002943122125370977}, 'brier_score': {'mean': 0.13149336119412355, 'std': 0.0027533647121044964}, 'cohen_kappa': {'mean': 0.6659384790994434, 'std': 0.00539589413117925}, 'f1': {'mean': 0.8136648770016869, 'std': 0.0035566457041859532}, 'mean_absolute_stage_error': {'mean': 0.16480656099540583, 'std': 0.002593222312412984}, 'precision': {'mean': 0.8095511605115778, 'std': 0.005601117029395338}, 'quadratic_weighted_kappa': {'mean': 0.6659384790994434, 'std': 0.00539589413117925}, 'recall': {'mean': 0.817939507148502, 'std': 0.009523375734486687}, 'roc_auc': {'mean': 0.9148190432805622, 'std': 0.0025907791522192043}}",0.817939507148502,COMPLETE
13,0.8146456686746971,0.03557504491565528,0.05805046720973181,240,24,19,0.8145608921969973,"{'accuracy': {'mean': 0.8301991511589943, 'std': 0.005961792295759447}, 'balanced_accuracy': {'mean': 0.8320831116603287, 'std': 0.006390966131466935}, 'brier_score': {'mean': 0.11974760090070047, 'std': 0.0019357293994832993}, 'cohen_kappa': {'mean': 0.6584074470108587, 'std': 0.012206646372660713}, 'f1': {'mean': 0.8145608921969973, 'std': 0.0070721325965267005}, 'mean_absolute_stage_error': {'mean': 0.16980084884100557, 'std': 0.005961792295759424}, 'precision': {'mean': 0.7839074177245628, 'std': 0.005464097385084168}, 'quadratic_weighted_kappa': {'mean': 0.6584074470108587, 'std': 0.012206646372660713}, 'recall': {'mean': 0.8477647769979513, 'std': 0.011047417041566853}, 'roc_auc': {'mean': 0.9125166900766203, 'std': 0.0027153733848613703}}",0.8477647769979513,COMPLETE
14,0.8205918753907215,0.0007187551363036988,0.1182733971305495,280,63,41,0.8205093472166306,"{'accuracy': {'mean': 0.8411661999623185, 'std': 0.006569844872965547}, 'balanced_accuracy': {'mean': 0.8394630749346075, 'std': 0.006983792856303978}, 'brier_score': {'mean': 0.1255709773859835, 'std': 0.004083024655234239}, 'cohen_kappa': {'mean': 0.6780773155284225, 'std': 0.013515079289889455}, 'f1': {'mean': 0.8205093472166306, 'std': 0.007962519437159357}, 'mean_absolute_stage_error': {'mean': 0.15883380003768152, 'std': 0.006569844872965519}, 'precision': {'mean': 0.8158249247347275, 'std': 0.005996839804015452}, 'quadratic_weighted_kappa': {'mean': 0.6780773155284225, 'std': 0.013515079289889455}, 'recall': {'mean': 0.8252817409098453, 'std': 0.010937787753829148}, 'roc_auc': {'mean': 0.9169068537956198, 'std': 0.003756142100929663}}",0.8252817409098453,COMPLETE
15,0.8210651564372944,0.0002522591007989184,0.11296984058679212,280,28,43,0.8209814485312072,"{'accuracy': {'mean': 0.8394045648335517, 'std': 0.0037572894680123507}, 'balanced_accuracy': {'mean': 0.8391549823506104, 'std': 0.0040688675370187995}, 'brier_score': {'mean': 0.11864355043973755, 'std': 0.0016189167626125235}, 'cohen_kappa': {'mean': 0.6754710387787938, 'std': 0.00770709021548662}, 'f1': {'mean': 0.8209814485312072, 'std': 0.004667330416815027}, 'mean_absolute_stage_error': {'mean': 0.1605954351664483, 'std': 0.0037572894680123472}, 'precision': {'mean': 0.8055971585803897, 'std': 0.00578753287231982}, 'quadratic_weighted_kappa': {'mean': 0.6754710387787938, 'std': 0.00770709021548662}, 'recall': {'mean': 0.8370790608718919, 'std': 0.010203722254243224}, 'roc_auc': {'mean': 0.9149970243996046, 'std': 0.002286982781970239}}",0.8370790608718919,COMPLETE
16,0.8162022059684995,0.0007796260501917435,0.040971294906726914,280,29,42,0.8161172515400452,"{'accuracy': {'mean': 0.8315695408655148, 'std': 0.005801845341193245}, 'balanced_accuracy': {'mean': 0.8334977233395182, 'std': 0.005855622814265077}, 'brier_score': {'mean': 0.11819159750693706, 'std': 0.002363093274959241}, 'cohen_kappa': {'mean': 0.6611894274675081, 'std': 0.01163835559450998}, 'f1': {'mean': 0.8161172515400452, 'std': 0.006333758289402326}, 'mean_absolute_stage_error': {'mean': 0.16843045913448518, 'std': 0.005801845341193215}, 'precision': {'mean': 0.7852766170494314, 'std': 0.007366622896410988}, 'quadratic_weighted_kappa': {'mean': 0.6611894274675081, 'std': 0.01163835559450998}, 'recall': {'mean': 0.8495442845428351, 'std': 0.008762455672884105}, 'roc_auc': {'mean': 0.9146532576557684, 'std': 0.0032005707264347993}}",0.8495442845428351,COMPLETE
17,0.8201085566196881,0.002042830032164969,0.12089014588870448,280,46,39,0.8200254941474039,"{'accuracy': {'mean': 0.8395998759290342, 'std': 0.002709585406403939}, 'balanced_accuracy': {'mean': 0.8386383683101277, 'std': 0.0029416620069108836}, 'brier_score': {'mean': 0.12206015296904796, 'std': 0.0024922428870785547}, 'cohen_kappa': {'mean': 0.6754052751631605, 'std': 0.005552153952441622}, 'f1': {'mean': 0.8200254941474039, 'std': 0.0034458715525064773}, 'mean_absolute_stage_error': {'mean': 0.1604001240709659, 'std': 0.0027095854064039457}, 'precision': {'mean': 0.8097953301756634, 'std': 0.005669218734976055}, 'quadratic_weighted_kappa': {'mean': 0.6754052751631605, 'std': 0.005552153952441622}, 'recall': {'mean': 0.8306247228422572, 'std': 0.008950544010976445}, 'roc_auc': {'mean': 0.9173620665726749, 'std': 0.00232905694081479}}",0.8306247228422572,COMPLETE
18,0.8124103283848452,3.199030857436457e-05,0.10192373770954408,280,32,50,0.8123277556920983,"{'accuracy': {'mean': 0.832157295904939, 'std': 0.0073399045669762936}, 'balanced_accuracy': {'mean': 0.8314685026153905, 'std': 0.007626016353443535}, 'brier_score': {'mean': 0.12081487958771212, 'std': 0.0030935302956376443}, 'cohen_kappa': {'mean': 0.6605990213906432, 'std': 0.014945882755235663}, 'f1': {'mean': 0.8123277556920983, 'std': 0.008543403128787276}, 'mean_absolute_stage_error': {'mean': 0.167842704095061, 'std': 0.007339904566976305}, 'precision': {'mean': 0.7994353107582935, 'std': 0.008497738125393773}, 'quadratic_weighted_kappa': {'mean': 0.6605990213906432, 'std': 0.014945882755235663}, 'recall': {'mean': 0.8257269274695218, 'std': 0.012025997108413839}, 'roc_auc': {'mean': 0.9140573785617055, 'std': 0.003754884398001025}}",0.8257269274695218,COMPLETE
19,0.8150835924615422,0.0035776279161575217,0.15797245364962434,320,20,43,0.8150006855444282,"{'accuracy': {'mean': 0.8344099893427451, 'std': 0.0032940105199250787}, 'balanced_accuracy': {'mean': 0.8338381603855938, 'std': 0.0033638800260228836}, 'brier_score': {'mean': 0.11966003098989537, 'std': 0.001764165494908309}, 'cohen_kappa': {'mean': 0.6652156459543755, 'std': 0.006612610126464262}, 'f1': {'mean': 0.8150006855444282, 'std': 0.0037791806059942618}, 'mean_absolute_stage_error': {'mean': 0.1655900106572549, 'std': 0.0032940105199250756}, 'precision': {'mean': 0.8015049911313159, 'std': 0.0064702257776448864}, 'quadratic_weighted_kappa': {'mean': 0.6652156459543755, 'std': 0.006612610126464262}, 'recall': {'mean': 0.8290691711404158, 'std': 0.008716806324176634}, 'roc_auc': {'mean': 0.9152855476889983, 'std': 0.0026013802027216493}}",0.8290691711404158,COMPLETE
