number,value,params_C,params_gamma,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.7529052593694596,2.7934105357000196,0.0001056790089450167,0.75282595866167,"{'accuracy': {'mean': 0.7709544499432619, 'std': 0.007258171793953196}, 'balanced_accuracy': {'mean': 0.7733184016883093, 'std': 0.007896518854932307}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.54044514146553, 'std': 0.015019500985712718}, 'f1': {'mean': 0.75282595866167, 'std': 0.009056452743870676}, 'mean_absolute_stage_error': {'mean': 0.22904555005673802, 'std': 0.007258171793953194}, 'precision': {'mean': 0.7166003633511518, 'std': 0.0063088920494770665}, 'quadratic_weighted_kappa': {'mean': 0.54044514146553, 'std': 0.015019500985712718}, 'recall': {'mean': 0.7930070778964997, 'std': 0.0147017649183433}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.7930070778964997,COMPLETE
11,0.8037704479521414,13.330009089672169,0.0362403824754905,0.8036887650379407,"{'accuracy': {'mean': 0.8244219410010917, 'std': 0.0028999690363523574}, 'balanced_accuracy': {'mean': 0.8236099071630717, 'std': 0.002244239171523981}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6449627624392826, 'std': 0.005353458735431546}, 'f1': {'mean': 0.8036887650379407, 'std': 0.0020775474949490157}, 'mean_absolute_stage_error': {'mean': 0.17557805899890838, 'std': 0.002899969036352363}, 'precision': {'mean': 0.791061131692777, 'std': 0.00751425044904216}, 'quadratic_weighted_kappa': {'mean': 0.6449627624392826, 'std': 0.005353458735431546}, 'recall': {'mean': 0.816829142006337, 'std': 0.005560416538938847}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.816829142006337,COMPLETE
12,0.8044845286882203,79.83860028477824,0.048502509664998084,0.8044022894518502,"{'accuracy': {'mean': 0.8240301682292992, 'std': 0.0033641054716646445}, 'balanced_accuracy': {'mean': 0.8238558646870107, 'std': 0.003109158138810172}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6446229134534971, 'std': 0.006547109785866575}, 'f1': {'mean': 0.8044022894518502, 'std': 0.0032451904977988458}, 'mean_absolute_stage_error': {'mean': 0.17596983177070075, 'std': 0.0033641054716646527}, 'precision': {'mean': 0.7872401128414172, 'std': 0.006257182333914719}, 'quadratic_weighted_kappa': {'mean': 0.6446229134534971, 'std': 0.006547109785866575}, 'recall': {'mean': 0.8223923637003253, 'std': 0.005413054813457164}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8223923637003253,COMPLETE
13,0.8228467149093005,2.9714502927617796,0.007821711764360039,0.8227592454616837,"{'accuracy': {'mean': 0.8342137673707741, 'std': 0.005527467241069262}, 'balanced_accuracy': {'mean': 0.8385528129120068, 'std': 0.005799210373514198}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6680650618140198, 'std': 0.011143882502874642}, 'f1': {'mean': 0.8227592454616837, 'std': 0.006226657858332606}, 'mean_absolute_stage_error': {'mean': 0.16578623262922582, 'std': 0.005527467241069277}, 'precision': {'mean': 0.7767415822074194, 'std': 0.006764912918563358}, 'quadratic_weighted_kappa': {'mean': 0.6680650618140198, 'std': 0.011143882502874642}, 'recall': {'mean': 0.8746944761687695, 'std': 0.011570486043861173}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8746944761687695,COMPLETE
14,0.8046369671911853,1.5496476581234115,0.0038047037269572626,0.8045510781682422,"{'accuracy': {'mean': 0.8163904074158769, 'std': 0.011108917307917498}, 'balanced_accuracy': {'mean': 0.8209457509995357, 'std': 0.011166162191477908}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6327338680241417, 'std': 0.02213319262839312}, 'f1': {'mean': 0.8045510781682422, 'std': 0.011636865682219916}, 'mean_absolute_stage_error': {'mean': 0.18360959258412302, 'std': 0.01110891730791754}, 'precision': {'mean': 0.756713274444096, 'std': 0.011922778818674385}, 'quadratic_weighted_kappa': {'mean': 0.6327338680241417, 'std': 0.02213319262839312}, 'recall': {'mean': 0.8588902294308698, 'std': 0.012709064495129863}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8588902294308698,COMPLETE
15,0.7928766683661057,2.130383803717273,0.1267282638458975,0.7927910464055506,"{'accuracy': {'mean': 0.8030755984338678, 'std': 0.006548151702385365}, 'balanced_accuracy': {'mean': 0.8087715841259273, 'std': 0.0064779188602122765}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6071342794164222, 'std': 0.01292948661055861}, 'f1': {'mean': 0.7927910464055506, 'std': 0.006678866148484243}, 'mean_absolute_stage_error': {'mean': 0.19692440156613228, 'std': 0.006548151702385353}, 'precision': {'mean': 0.7381590274301029, 'std': 0.0077318050771913414}, 'quadratic_weighted_kappa': {'mean': 0.6071342794164222, 'std': 0.01292948661055861}, 'recall': {'mean': 0.8562196055503393, 'std': 0.008619086342238087}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8562196055503393,COMPLETE
16,0.8234083485118627,4.445970482930447,0.007266705663137644,0.8233212573613391,"{'accuracy': {'mean': 0.8355846844268406, 'std': 0.006281489935974831}, 'balanced_accuracy': {'mean': 0.8393718824199361, 'std': 0.0067912437437336265}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6704315395491831, 'std': 0.012819765732760868}, 'f1': {'mean': 0.8233212573613391, 'std': 0.0073985047807280015}, 'mean_absolute_stage_error': {'mean': 0.16441531557315942, 'std': 0.00628148993597484}, 'precision': {'mean': 0.7807689723638769, 'std': 0.006563685585534885}, 'quadratic_weighted_kappa': {'mean': 0.6704315395491831, 'std': 0.012819765732760868}, 'recall': {'mean': 0.8709115052359587, 'std': 0.013616569304061478}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8709115052359587,COMPLETE
17,0.799181646093335,47.3377190564918,0.009127016454140931,0.7991009427629827,"{'accuracy': {'mean': 0.821484124621327, 'std': 0.0034905526319755583}, 'balanced_accuracy': {'mean': 0.8199359170976391, 'std': 0.003799143337773305}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6385115156365767, 'std': 0.007230199127962268}, 'f1': {'mean': 0.7991009427629827, 'std': 0.0045075761078534685}, 'mean_absolute_stage_error': {'mean': 0.17851587537867292, 'std': 0.0034905526319755605}, 'precision': {'mean': 0.7913997347478258, 'std': 0.004991846644616519}, 'quadratic_weighted_kappa': {'mean': 0.6385115156365767, 'std': 0.007230199127962268}, 'recall': {'mean': 0.807033303522102, 'std': 0.008912775496167723}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.807033303522102,COMPLETE
18,0.8198364921231214,6.106319447925948,0.005042787664795643,0.8197495790719955,"{'accuracy': {'mean': 0.831863610148698, 'std': 0.00632808647427693}, 'balanced_accuracy': {'mean': 0.8358584724736421, 'std': 0.006693380675403873}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6631509152597638, 'std': 0.012823218428629513}, 'f1': {'mean': 0.8197495790719955, 'std': 0.007247475686477315}, 'mean_absolute_stage_error': {'mean': 0.1681363898513018, 'std': 0.006328086474276937}, 'precision': {'mean': 0.7757729490159766, 'std': 0.00700212286614153}, 'quadratic_weighted_kappa': {'mean': 0.6631509152597638, 'std': 0.012823218428629513}, 'recall': {'mean': 0.8691305112584882, 'std': 0.01261356997142368}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8691305112584882,COMPLETE
19,0.7863159188471693,0.7795809039185008,0.00219334293274131,0.7862323668926343,"{'accuracy': {'mean': 0.8001351453063734, 'std': 0.00872239187779657}, 'balanced_accuracy': {'mean': 0.8039279352210251, 'std': 0.00911013706722579}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.5997908352441568, 'std': 0.01766328433649786}, 'f1': {'mean': 0.7862323668926343, 'std': 0.009836350456669314}, 'mean_absolute_stage_error': {'mean': 0.1998648546936267, 'std': 0.008722391877796578}, 'precision': {'mean': 0.7424709911594543, 'std': 0.008152181254470658}, 'quadratic_weighted_kappa': {'mean': 0.5997908352441568, 'std': 0.01766328433649786}, 'recall': {'mean': 0.8355195453498195, 'std': 0.013221022804303076}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8355195453498195,COMPLETE
