number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.8049211953870047,0.6575775509708267,0.05298889684786049,3,6.012071763192807,320,1.3815073407783126e-08,13.166940501312423,0.656286656465187,0.804836152218525,"{'accuracy': {'mean': 0.8185450138381315, 'std': 0.007938996529909374}, 'balanced_accuracy': {'mean': 0.8219632987916332, 'std': 0.008076677643784624}, 'brier_score': {'mean': 0.12826039469091927, 'std': 0.0017597810953045951}, 'cohen_kappa': {'mean': 0.6362001503029073, 'std': 0.01592459284554067}, 'f1': {'mean': 0.804836152218525, 'std': 0.00861130229770822}, 'mean_absolute_stage_error': {'mean': 0.1814549861618685, 'std': 0.00793899652990937}, 'precision': {'mean': 0.7639234147380722, 'std': 0.008687445245281656}, 'quadratic_weighted_kappa': {'mean': 0.6362001503029073, 'std': 0.01592459284554067}, 'recall': {'mean': 0.8504316847970153, 'std': 0.010809681732095172}, 'roc_auc': {'mean': 0.9038786332569628, 'std': 0.0025422379269889783}}",0.8504316847970153,COMPLETE
11,0.8148618734097853,0.8949426984630736,0.10203343254119306,6,5.160297992411608,160,0.00011358672915292563,0.42687355782514635,0.8573743953803181,0.8147776757737086,"{'accuracy': {'mean': 0.831570068215061, 'std': 0.005869745843395729}, 'balanced_accuracy': {'mean': 0.8326857894236778, 'std': 0.005817495134000968}, 'brier_score': {'mean': 0.11860740590615629, 'std': 0.0023713533931040624}, 'cohen_kappa': {'mean': 0.6606464935421711, 'std': 0.011712294622450044}, 'f1': {'mean': 0.8147776757737086, 'std': 0.006246401108777455}, 'mean_absolute_stage_error': {'mean': 0.1684299317849392, 'std': 0.005869745843395702}, 'precision': {'mean': 0.7893397354281463, 'std': 0.00795811871841064}, 'quadratic_weighted_kappa': {'mean': 0.6606464935421711, 'std': 0.011712294622450044}, 'recall': {'mean': 0.8419763607670984, 'std': 0.008114818608557879}, 'roc_auc': {'mean': 0.9142429631829122, 'std': 0.0032052751690005866}}",0.8419763607670984,COMPLETE
12,0.8166943510193615,0.8290015136971365,0.10573035957218277,6,5.0088653356230175,160,6.915383851665652,0.5463344886744295,0.8432091840264316,0.8166099085430639,"{'accuracy': {'mean': 0.8331364401892131, 'std': 0.005988973789850612}, 'balanced_accuracy': {'mean': 0.8343475888003413, 'std': 0.0060834129651894725}, 'brier_score': {'mean': 0.11774404350628793, 'std': 0.0020803439836785584}, 'cohen_kappa': {'mean': 0.6638473979824961, 'std': 0.012050898462967677}, 'f1': {'mean': 0.8166099085430639, 'std': 0.006626844336558876}, 'mean_absolute_stage_error': {'mean': 0.166863559810787, 'std': 0.005988973789850595}, 'precision': {'mean': 0.7906294912507112, 'std': 0.007531087347383072}, 'quadratic_weighted_kappa': {'mean': 0.6638473979824961, 'std': 0.012050898462967677}, 'recall': {'mean': 0.844424762975937, 'std': 0.009290293855723426}, 'roc_auc': {'mean': 0.9149755858790101, 'std': 0.0025563454097427734}}",0.844424762975937,COMPLETE
13,0.8148581705434113,0.8131399766081109,0.11234981924292052,5,6.664674554230375,240,9.868745464853728,0.7344214423797472,0.8243938548735952,0.814773438658689,"{'accuracy': {'mean': 0.8304926930926317, 'std': 0.004958104780269008}, 'balanced_accuracy': {'mean': 0.8322971332329523, 'std': 0.004836242787091789}, 'brier_score': {'mean': 0.11837376885553456, 'std': 0.0022559241580828865}, 'cohen_kappa': {'mean': 0.6589531783036571, 'std': 0.009830824227669285}, 'f1': {'mean': 0.814773438658689, 'std': 0.005104005491997361}, 'mean_absolute_stage_error': {'mean': 0.1695073069073682, 'std': 0.004958104780269003}, 'precision': {'mean': 0.7846631148038873, 'std': 0.006621003531747692}, 'quadratic_weighted_kappa': {'mean': 0.6589531783036571, 'std': 0.009830824227669285}, 'recall': {'mean': 0.8473188472219814, 'std': 0.005490337982176085}, 'roc_auc': {'mean': 0.9143866754759475, 'std': 0.002691461566192721}}",0.8473188472219814,COMPLETE
14,0.8099365279228768,0.7167191336565385,0.06328293626740053,6,4.354787061194421,160,7.651248174309759,1.5890656163366255,0.765657842229616,0.8098513954197987,"{'accuracy': {'mean': 0.82412739230923, 'std': 0.005437466175767493}, 'balanced_accuracy': {'mean': 0.8270436036813079, 'std': 0.005687611011549886}, 'brier_score': {'mean': 0.12208560649162256, 'std': 0.0013174278790164995}, 'cohen_kappa': {'mean': 0.6469822423861503, 'std': 0.011007355863750495}, 'f1': {'mean': 0.8098513954197987, 'std': 0.006188115417634581}, 'mean_absolute_stage_error': {'mean': 0.1758726076907699, 'std': 0.005437466175767503}, 'precision': {'mean': 0.7722899057681619, 'std': 0.006131809307696287}, 'quadratic_weighted_kappa': {'mean': 0.6469822423861503, 'std': 0.011007355863750495}, 'recall': {'mean': 0.8513250307815415, 'std': 0.010004269274388652}, 'roc_auc': {'mean': 0.9103643435995986, 'std': 0.0019735441885358777}}",0.8513250307815415,COMPLETE
15,0.813859559926577,0.8153126865835205,0.15568935345074847,5,8.182204681112697,200,1.8555635772917604e-08,0.15649113893375421,0.8703391326097918,0.8137757182663309,"{'accuracy': {'mean': 0.8311787748519468, 'std': 0.006326143408121092}, 'balanced_accuracy': {'mean': 0.8319545554137804, 'std': 0.006539250397889501}, 'brier_score': {'mean': 0.11927357692348026, 'std': 0.0027912284155643613}, 'cohen_kappa': {'mean': 0.6596258121645643, 'std': 0.012819268277020757}, 'f1': {'mean': 0.8137757182663309, 'std': 0.007136899115871336}, 'mean_absolute_stage_error': {'mean': 0.16882122514805337, 'std': 0.006326143408121096}, 'precision': {'mean': 0.7905492048714249, 'std': 0.00618930351383323}, 'quadratic_weighted_kappa': {'mean': 0.6596258121645643, 'std': 0.012819268277020757}, 'recall': {'mean': 0.8384166024610369, 'std': 0.008521455684471936}, 'roc_auc': {'mean': 0.9136750384473729, 'std': 0.0035895541304274844}}",0.8384166024610369,COMPLETE
16,0.8048297291971095,0.699554484578323,0.03788612452747359,6,7.40761970468437,120,0.00012992768403067328,2.444134449842861,0.7935195211850015,0.8047444409654441,"{'accuracy': {'mean': 0.8179580258525924, 'std': 0.006338514926065279}, 'balanced_accuracy': {'mean': 0.8217021418757522, 'std': 0.006913830502266991}, 'brier_score': {'mean': 0.129244458961092, 'std': 0.0018804391021697098}, 'cohen_kappa': {'mean': 0.635252994319531, 'std': 0.012992429812915958}, 'f1': {'mean': 0.8047444409654441, 'std': 0.007647111876782904}, 'mean_absolute_stage_error': {'mean': 0.1820419741474076, 'std': 0.006338514926065267}, 'precision': {'mean': 0.7618780874544546, 'std': 0.006630691847755359}, 'quadratic_weighted_kappa': {'mean': 0.635252994319531, 'std': 0.012992429812915958}, 'recall': {'mean': 0.8528823166547339, 'std': 0.014680677998171415}, 'roc_auc': {'mean': 0.9036715969422602, 'std': 0.0035168133008564115}}",0.8528823166547339,COMPLETE
17,0.8170787535970994,0.7805398835804679,0.070499839911098,5,5.276461142650248,320,1.2645427938537928,2.925536691831142,0.6974101779960488,0.8169942887252175,"{'accuracy': {'mean': 0.8335282129610053, 'std': 0.00721217480945677}, 'balanced_accuracy': {'mean': 0.8347213456253737, 'std': 0.007427846466720229}, 'brier_score': {'mean': 0.11695439555616302, 'std': 0.0022746504584943428}, 'cohen_kappa': {'mean': 0.6646178762640104, 'std': 0.014585869802771401}, 'f1': {'mean': 0.8169942887252175, 'std': 0.008119107388477046}, 'mean_absolute_stage_error': {'mean': 0.16647178703899462, 'std': 0.007212174809456744}, 'precision': {'mean': 0.7911558587824205, 'std': 0.008276043436161491}, 'quadratic_weighted_kappa': {'mean': 0.6646178762640104, 'std': 0.014585869802771401}, 'recall': {'mean': 0.8446487188189797, 'std': 0.011148802281973905}, 'roc_auc': {'mean': 0.9161542896261128, 'std': 0.0031007558861587893}}",0.8446487188189797,COMPLETE
18,0.8145703391145745,0.8360707524883657,0.07411205234545916,5,5.29048061843039,320,0.5553974737160439,0.23479337302312592,0.6825627099912571,0.8144865419977583,"{'accuracy': {'mean': 0.8320598800615369, 'std': 0.003510312022688073}, 'balanced_accuracy': {'mean': 0.8326948297787327, 'std': 0.0035926317171089545}, 'brier_score': {'mean': 0.11772678287484314, 'std': 0.001426563811252033}, 'cohen_kappa': {'mean': 0.6613015801145359, 'std': 0.007064094539558692}, 'f1': {'mean': 0.8144865419977583, 'std': 0.0040148239334484295}, 'mean_absolute_stage_error': {'mean': 0.16794011993846308, 'std': 0.0035103120226880743}, 'precision': {'mean': 0.7923602195558386, 'std': 0.005834921980736403}, 'quadratic_weighted_kappa': {'mean': 0.6613015801145359, 'std': 0.007064094539558692}, 'recall': {'mean': 0.837971168162596, 'std': 0.008203405634229905}, 'roc_auc': {'mean': 0.915131812794084, 'std': 0.002053125351741991}}",0.837971168162596,COMPLETE
19,0.7909484143804519,0.7952140981645295,0.0293384175668884,3,9.207521407868944,280,0.902940601070848,0.9128177578040488,0.7093781043582127,0.7908642391151857,"{'accuracy': {'mean': 0.8041511518033196, 'std': 0.00654222288417605}, 'balanced_accuracy': {'mean': 0.8081816172784333, 'std': 0.006820292502298642}, 'brier_score': {'mean': 0.1370136926820932, 'std': 0.001583299173021483}, 'cohen_kappa': {'mean': 0.6079750441988017, 'std': 0.013217932885157007}, 'f1': {'mean': 0.7908642391151857, 'std': 0.007364960544741483}, 'mean_absolute_stage_error': {'mean': 0.1958488481966803, 'std': 0.006542222884176042}, 'precision': {'mean': 0.7458217807216398, 'std': 0.006549583016940785}, 'quadratic_weighted_kappa': {'mean': 0.6079750441988017, 'std': 0.013217932885157007}, 'recall': {'mean': 0.8417526526628201, 'std': 0.01076737896600959}, 'roc_auc': {'mean': 0.8938458023585119, 'std': 0.0032588551668029674}}",0.8417526526628201,COMPLETE
