number,value,params_C,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.769980967252988,0.06822974740734529,0.7699032911416939,"{'accuracy': {'mean': 0.7957292357314794, 'std': 0.008078543822329082}, 'balanced_accuracy': {'mean': 0.7936955171007339, 'std': 0.00822691938749851}, 'brier_score': {'mean': 0.14361972201980738, 'std': 0.0039726576722694815}, 'cohen_kappa': {'mean': 0.5862719715510757, 'std': 0.01637762401209574}, 'f1': {'mean': 0.7699032911416939, 'std': 0.009166175452566984}, 'mean_absolute_stage_error': {'mean': 0.20427076426852064, 'std': 0.008078543822329089}, 'precision': {'mean': 0.7631802488268696, 'std': 0.009024620891908114}, 'quadratic_weighted_kappa': {'mean': 0.5862719715510757, 'std': 0.01637762401209574}, 'recall': {'mean': 0.7767611129416253, 'std': 0.00992695004876074}, 'roc_auc': {'mean': 0.8733721617591744, 'std': 0.006244419467654707}}",0.7767611129416253,COMPLETE
11,0.7729995167563678,5.396408491674145,0.7729216402987349,"{'accuracy': {'mean': 0.7986671000521117, 'std': 0.008215715081169044}, 'balanced_accuracy': {'mean': 0.7965326837009983, 'std': 0.008209402014277868}, 'brier_score': {'mean': 0.1424486762418795, 'std': 0.004292705809337593}, 'cohen_kappa': {'mean': 0.5921105977684225, 'std': 0.016519741472246583}, 'f1': {'mean': 0.7729216402987349, 'std': 0.009022746742443992}, 'mean_absolute_stage_error': {'mean': 0.20133289994788822, 'std': 0.00821571508116904}, 'precision': {'mean': 0.767214086709348, 'std': 0.01025493985084516}, 'quadratic_weighted_kappa': {'mean': 0.5921105977684225, 'std': 0.016519741472246583}, 'recall': {'mean': 0.7787645763295521, 'std': 0.009737324166856532}, 'roc_auc': {'mean': 0.8750614595504101, 'std': 0.006438964834256674}}",0.7787645763295521,COMPLETE
12,0.7729735723852867,3.0240503427727154,0.7728956736807128,"{'accuracy': {'mean': 0.7985690130365602, 'std': 0.008032495378309138}, 'balanced_accuracy': {'mean': 0.7964690167549466, 'std': 0.007906479884946065}, 'brier_score': {'mean': 0.1424678549575809, 'std': 0.004262239904244365}, 'cohen_kappa': {'mean': 0.591944709871267, 'std': 0.016054693160056633}, 'f1': {'mean': 0.7728956736807128, 'std': 0.008567746318379338}, 'mean_absolute_stage_error': {'mean': 0.20143098696343978, 'std': 0.008032495378309159}, 'precision': {'mean': 0.7669467409231494, 'std': 0.010545156668190059}, 'quadratic_weighted_kappa': {'mean': 0.591944709871267, 'std': 0.016054693160056633}, 'recall': {'mean': 0.7789870457400081, 'std': 0.008467454759761251}, 'roc_auc': {'mean': 0.8750311377075409, 'std': 0.006388912228792858}}",0.7789870457400081,COMPLETE
13,0.7722425552951843,9.154902491428649,0.7721647901218043,"{'accuracy': {'mean': 0.7980797764804979, 'std': 0.0071239718236872996}, 'balanced_accuracy': {'mean': 0.7958888498486811, 'std': 0.006994694028882517}, 'brier_score': {'mean': 0.14250211793654394, 'std': 0.00425686268519225}, 'cohen_kappa': {'mean': 0.5908839977396175, 'std': 0.014226890715681988}, 'f1': {'mean': 0.7721647901218043, 'std': 0.007588169301110735}, 'mean_absolute_stage_error': {'mean': 0.20192022351950212, 'std': 0.007123971823687276}, 'precision': {'mean': 0.7668024596429707, 'std': 0.009554334446411029}, 'quadratic_weighted_kappa': {'mean': 0.5908839977396175, 'std': 0.014226890715681988}, 'recall': {'mean': 0.7776517337997428, 'std': 0.007756890389128683}, 'roc_auc': {'mean': 0.8750085863651181, 'std': 0.006367400504884863}}",0.7776517337997428,COMPLETE
14,0.7703994711450868,0.3310341015157864,0.7703219063180456,"{'accuracy': {'mean': 0.796512781275064, 'std': 0.0068631514508136204}, 'balanced_accuracy': {'mean': 0.7942755359486473, 'std': 0.007080320318790618}, 'brier_score': {'mean': 0.14280708956327287, 'std': 0.004132769200014734}, 'cohen_kappa': {'mean': 0.5876798021851583, 'std': 0.01398018075097702}, 'f1': {'mean': 0.7703219063180456, 'std': 0.007997413616698822}, 'mean_absolute_stage_error': {'mean': 0.20348721872493591, 'std': 0.006863151450813632}, 'precision': {'mean': 0.7651022738287551, 'std': 0.00755292242348833}, 'quadratic_weighted_kappa': {'mean': 0.5876798021851583, 'std': 0.01398018075097702}, 'recall': {'mean': 0.7756482704118162, 'std': 0.009927313060457752}, 'roc_auc': {'mean': 0.8745660345617814, 'std': 0.006271400174705335}}",0.7756482704118162,COMPLETE
15,0.77218037229575,34.54013068456224,0.7721025625046185,"{'accuracy': {'mean': 0.7978838421537339, 'std': 0.00773160126236152}, 'balanced_accuracy': {'mean': 0.7957622117799434, 'std': 0.007554707480076181}, 'brier_score': {'mean': 0.1425426979956906, 'std': 0.0042513186006367405}, 'cohen_kappa': {'mean': 0.590548271227943, 'std': 0.015414916993823266}, 'f1': {'mean': 0.7721025625046185, 'std': 0.008126185168645881}, 'mean_absolute_stage_error': {'mean': 0.2021161578462661, 'std': 0.007731601262361538}, 'precision': {'mean': 0.7662342227834449, 'std': 0.01028417958387358}, 'quadratic_weighted_kappa': {'mean': 0.590548271227943, 'std': 0.015414916993823266}, 'recall': {'mean': 0.7780979113144771, 'std': 0.007236550150883589}, 'roc_auc': {'mean': 0.8749216179358997, 'std': 0.006304926642873389}}",0.7780979113144771,COMPLETE
16,0.7707578780032348,0.2651195783831498,0.7706802687318592,"{'accuracy': {'mean': 0.796806467031305, 'std': 0.007013514155435516}, 'balanced_accuracy': {'mean': 0.7945850172548428, 'std': 0.0071961912324632815}, 'brier_score': {'mean': 0.14289503625233363, 'std': 0.004103417375865454}, 'cohen_kappa': {'mean': 0.588285326603607, 'std': 0.01425475272782583}, 'f1': {'mean': 0.7706802687318592, 'std': 0.008104404226551853}, 'mean_absolute_stage_error': {'mean': 0.20319353296869508, 'std': 0.007013514155435535}, 'precision': {'mean': 0.7653827245432305, 'std': 0.007971652785714685}, 'quadratic_weighted_kappa': {'mean': 0.588285326603607, 'std': 0.01425475272782583}, 'recall': {'mean': 0.7760927137551995, 'std': 0.009988413288744667}, 'roc_auc': {'mean': 0.8744405374454057, 'std': 0.006256147115793038}}",0.7760927137551995,COMPLETE
17,0.7726737933668146,10.313130464702752,0.772596028143887,"{'accuracy': {'mean': 0.7985693486226348, 'std': 0.007543402605012914}, 'balanced_accuracy': {'mean': 0.7963263134774172, 'std': 0.0073927518767590095}, 'brier_score': {'mean': 0.1425186648557685, 'std': 0.004274799553173182}, 'cohen_kappa': {'mean': 0.5918288285324242, 'std': 0.015062036044179572}, 'f1': {'mean': 0.772596028143887, 'std': 0.007996539877599707}, 'mean_absolute_stage_error': {'mean': 0.2014306513773651, 'std': 0.007543402605012882}, 'precision': {'mean': 0.7676436914924988, 'std': 0.010042126405941584}, 'quadratic_weighted_kappa': {'mean': 0.5918288285324242, 'std': 0.015062036044179572}, 'recall': {'mean': 0.7776522292772717, 'std': 0.0074821452167342746}, 'roc_auc': {'mean': 0.8749365828955495, 'std': 0.006384311462564325}}",0.7776522292772717,COMPLETE
18,0.7731370085867941,2.1370184394867615,0.7730591099565417,"{'accuracy': {'mean': 0.7987648514815885, 'std': 0.007872347539316735}, 'balanced_accuracy': {'mean': 0.7966435467980798, 'std': 0.007807684453210566}, 'brier_score': {'mean': 0.14245922310058395, 'std': 0.004253593361895678}, 'cohen_kappa': {'mean': 0.5923196618298852, 'std': 0.01577785181876912}, 'f1': {'mean': 0.7730591099565417, 'std': 0.008538426639329258}, 'mean_absolute_stage_error': {'mean': 0.20123514851841146, 'std': 0.007872347539316763}, 'precision': {'mean': 0.767282767987951, 'std': 0.01027010505099564}, 'quadratic_weighted_kappa': {'mean': 0.5923196618298852, 'std': 0.01577785181876912}, 'recall': {'mean': 0.7789863025237148, 'std': 0.009348305804579505}, 'roc_auc': {'mean': 0.8750655605694204, 'std': 0.006375667073342233}}",0.7789863025237148,COMPLETE
19,0.7727186129852743,89.63685022941,0.7726407141816048,"{'accuracy': {'mean': 0.7982755190437906, 'std': 0.007877064031855008}, 'balanced_accuracy': {'mean': 0.7962072744702379, 'std': 0.007766058694849151}, 'brier_score': {'mean': 0.14256292392298442, 'std': 0.0042704388232922596}, 'cohen_kappa': {'mean': 0.59137884110375, 'std': 0.015756815522708592}, 'f1': {'mean': 0.7726407141816048, 'std': 0.008407738460565976}, 'mean_absolute_stage_error': {'mean': 0.20172448095620937, 'std': 0.007877064031854997}, 'precision': {'mean': 0.7664256167971563, 'std': 0.01009436105252338}, 'quadratic_weighted_kappa': {'mean': 0.59137884110375, 'std': 0.015756815522708592}, 'recall': {'mean': 0.7789880366950658, 'std': 0.007832237258655304}, 'roc_auc': {'mean': 0.8748494650429068, 'std': 0.00632805284907005}}",0.7789880366950658,COMPLETE
