number,value,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.7947020140812493,4,80,1.19758063176302,0.22664947481511868,0.7946209994175918,"{'accuracy': {'mean': 0.8158037550164126, 'std': 0.007507848705071553}, 'balanced_accuracy': {'mean': 0.8151968889423991, 'std': 0.008170113125684176}, 'brier_score': {'mean': 0.12868286151630456, 'std': 0.002237487902739697}, 'cohen_kappa': {'mean': 0.6277566312990622, 'std': 0.01556017235882372}, 'f1': {'mean': 0.7946209994175918, 'std': 0.009388327018809144}, 'mean_absolute_stage_error': {'mean': 0.18419624498358744, 'std': 0.007507848705071561}, 'precision': {'mean': 0.7797473099352967, 'std': 0.006076861075985315}, 'quadratic_weighted_kappa': {'mean': 0.6277566312990622, 'std': 0.01556017235882372}, 'recall': {'mean': 0.8101466365746648, 'std': 0.014361590064321418}, 'roc_auc': {'mean': 0.8984980832851909, 'std': 0.0034692135990799966}}",0.8101466365746648,COMPLETE
11,0.8068800297776264,5,120,8.45716756215759,0.23970523483895967,0.8067978799501765,"{'accuracy': {'mean': 0.8269672654960466, 'std': 0.0067851181937787775}, 'balanced_accuracy': {'mean': 0.8263813069173557, 'std': 0.007663063888026542}, 'brier_score': {'mean': 0.12301967393797955, 'std': 0.002873391385542834}, 'cohen_kappa': {'mean': 0.6502117690685288, 'std': 0.014244670313804282}, 'f1': {'mean': 0.8067978799501765, 'std': 0.008928957409573841}, 'mean_absolute_stage_error': {'mean': 0.17303273450395346, 'std': 0.006785118193778778}, 'precision': {'mean': 0.7927033778708477, 'std': 0.003821614893281151}, 'quadratic_weighted_kappa': {'mean': 0.6502117690685288, 'std': 0.014244670313804282}, 'recall': {'mean': 0.8214982744995056, 'std': 0.015223408396183321}, 'roc_auc': {'mean': 0.9058976084692304, 'std': 0.003695911729952424}}",0.8214982744995056,COMPLETE
12,0.8023846990181228,5,80,8.684865239912481,0.24667734796935947,0.8023028602762393,"{'accuracy': {'mean': 0.8225613559211526, 'std': 0.0038411906979808697}, 'balanced_accuracy': {'mean': 0.822115324110562, 'std': 0.004059007445223782}, 'brier_score': {'mean': 0.12532732216255338, 'std': 0.002563382575839326}, 'cohen_kappa': {'mean': 0.6414715863820866, 'std': 0.007841018263315418}, 'f1': {'mean': 0.8023028602762393, 'std': 0.004571924602574539}, 'mean_absolute_stage_error': {'mean': 0.17743864407884738, 'std': 0.0038411906979808766}, 'precision': {'mean': 0.7868906120641161, 'std': 0.004907133957163185}, 'quadratic_weighted_kappa': {'mean': 0.6414715863820866, 'std': 0.007841018263315418}, 'recall': {'mean': 0.8183874188345873, 'std': 0.007994992626523374}, 'roc_auc': {'mean': 0.9027616775282112, 'std': 0.0038739602284662477}}",0.8183874188345873,COMPLETE
13,0.8017125014248845,4,120,9.301112707496978,0.15723331519003947,0.8016308189813875,"{'accuracy': {'mean': 0.822169391385889, 'std': 0.006697031371293799}, 'balanced_accuracy': {'mean': 0.8215965287991391, 'std': 0.0070980842576237055}, 'brier_score': {'mean': 0.1264278462787079, 'std': 0.002093756489086882}, 'cohen_kappa': {'mean': 0.6405869240832762, 'std': 0.013742953171887038}, 'f1': {'mean': 0.8016308189813875, 'std': 0.008074044775665527}, 'mean_absolute_stage_error': {'mean': 0.17783060861411099, 'std': 0.0066970313712938065}, 'precision': {'mean': 0.7870619326459993, 'std': 0.007051647977830373}, 'quadratic_weighted_kappa': {'mean': 0.6405869240832762, 'std': 0.013742953171887038}, 'recall': {'mean': 0.8168244349698132, 'std': 0.012003374127760966}, 'roc_auc': {'mean': 0.9020634043281227, 'std': 0.003777140334128838}}",0.8168244349698132,COMPLETE
14,0.7967845058946195,5,80,9.65220308100483,0.1548019839502522,0.7967029567841255,"{'accuracy': {'mean': 0.8168812260205772, 'std': 0.004076359344182216}, 'balanced_accuracy': {'mean': 0.8167325300591713, 'std': 0.003627865805667329}, 'brier_score': {'mean': 0.12894258837577272, 'std': 0.0010087078310298857}, 'cohen_kappa': {'mean': 0.63028514797796, 'std': 0.007823473168674737}, 'f1': {'mean': 0.7967029567841255, 'std': 0.0037062614206829197}, 'mean_absolute_stage_error': {'mean': 0.18311877397942283, 'std': 0.004076359344182186}, 'precision': {'mean': 0.7788790932458917, 'std': 0.008522857768359118}, 'quadratic_weighted_kappa': {'mean': 0.63028514797796, 'std': 0.007823473168674737}, 'recall': {'mean': 0.8154911049396633, 'std': 0.007281532841648125}, 'roc_auc': {'mean': 0.8988581663893589, 'std': 0.0020920279344021843}}",0.8154911049396633,COMPLETE
15,0.8053296163773043,4,160,8.005942324644032,0.16324582969148285,0.8052475557853572,"{'accuracy': {'mean': 0.8254006538175552, 'std': 0.007708209030432553}, 'balanced_accuracy': {'mean': 0.8248863313065792, 'std': 0.008205807952174616}, 'brier_score': {'mean': 0.12392397088428131, 'std': 0.0017123886132804885}, 'cohen_kappa': {'mean': 0.6471214167486707, 'std': 0.01583918684670014}, 'f1': {'mean': 0.8052475557853572, 'std': 0.009291313374898167}, 'mean_absolute_stage_error': {'mean': 0.17459934618244471, 'std': 0.007708209030432541}, 'precision': {'mean': 0.7905045708215445, 'std': 0.007145449281326244}, 'quadratic_weighted_kappa': {'mean': 0.6471214167486707, 'std': 0.01583918684670014}, 'recall': {'mean': 0.8206059194700372, 'std': 0.013132053491296232}, 'roc_auc': {'mean': 0.9052397731640391, 'std': 0.0027262509456720237}}",0.8206059194700372,COMPLETE
16,0.7902699955092157,5,120,11.956181849221789,0.05900615756170461,0.7901896040076463,"{'accuracy': {'mean': 0.8121802883451436, 'std': 0.008648414991250845}, 'balanced_accuracy': {'mean': 0.811294059309661, 'std': 0.008849553917980714}, 'brier_score': {'mean': 0.1355357598681904, 'std': 0.0019490796590321369}, 'cohen_kappa': {'mean': 0.620277477551811, 'std': 0.017533959185550452}, 'f1': {'mean': 0.7901896040076463, 'std': 0.009796995114921459}, 'mean_absolute_stage_error': {'mean': 0.18781971165485642, 'std': 0.008648414991250863}, 'precision': {'mean': 0.776933017943121, 'std': 0.00919325163877703}, 'quadratic_weighted_kappa': {'mean': 0.620277477551811, 'std': 0.017533959185550452}, 'recall': {'mean': 0.8039150156942508, 'std': 0.010742149609264586}, 'roc_auc': {'mean': 0.8909408975290294, 'std': 0.0037512098988195337}}",0.8039150156942508,COMPLETE
17,0.7954147957133384,5,80,10.095488519471454,0.1201614811943574,0.7953335140616145,"{'accuracy': {'mean': 0.8159995934614409, 'std': 0.0063375227876056595}, 'balanced_accuracy': {'mean': 0.815657932829755, 'std': 0.006971429111697887}, 'brier_score': {'mean': 0.13164302217932955, 'std': 0.0019102995431012424}, 'cohen_kappa': {'mean': 0.6283495371997286, 'std': 0.013169195596434959}, 'f1': {'mean': 0.7953335140616145, 'std': 0.00807917897507156}, 'mean_absolute_stage_error': {'mean': 0.18400040653855906, 'std': 0.0063375227876056655}, 'precision': {'mean': 0.7786947321015687, 'std': 0.006073626195361486}, 'quadratic_weighted_kappa': {'mean': 0.6283495371997286, 'std': 0.013169195596434959}, 'recall': {'mean': 0.8128165172389019, 'std': 0.013965729370992276}, 'roc_auc': {'mean': 0.8955343522814088, 'std': 0.0037251940249464046}}",0.8128165172389019,COMPLETE
18,0.807409015037783,4,160,7.443663306654929,0.24794664483519271,0.8073266200975995,"{'accuracy': {'mean': 0.8269670737325752, 'std': 0.006546440591401374}, 'balanced_accuracy': {'mean': 0.8266459439350763, 'std': 0.006410640477348483}, 'brier_score': {'mean': 0.12265889039527837, 'std': 0.002806628876920991}, 'cohen_kappa': {'mean': 0.6504245380979744, 'std': 0.013010788381592121}, 'f1': {'mean': 0.8073266200975995, 'std': 0.006957838927122831}, 'mean_absolute_stage_error': {'mean': 0.1730329262674247, 'std': 0.0065464405914013885}, 'precision': {'mean': 0.7915266054112148, 'std': 0.010590008122890016}, 'quadratic_weighted_kappa': {'mean': 0.6504245380979744, 'std': 0.013010788381592121}, 'recall': {'mean': 0.8239494018347532, 'std': 0.011117004841354193}, 'roc_auc': {'mean': 0.9064755976673853, 'std': 0.003920454718701655}}",0.8239494018347532,COMPLETE
19,0.8048247868913956,4,200,6.990305838006984,0.1723123377354733,0.8047428151385695,"{'accuracy': {'mean': 0.8250084975188203, 'std': 0.009744301705417367}, 'balanced_accuracy': {'mean': 0.8244413709374159, 'std': 0.010010840874448182}, 'brier_score': {'mean': 0.12172893580634206, 'std': 0.002647523065212768}, 'cohen_kappa': {'mean': 0.6463032237265448, 'std': 0.01974844986589137}, 'f1': {'mean': 0.8047428151385695, 'std': 0.01106986583079326}, 'mean_absolute_stage_error': {'mean': 0.1749915024811796, 'std': 0.009744301705417378}, 'precision': {'mean': 0.7903736489831598, 'std': 0.010778204932947451}, 'quadratic_weighted_kappa': {'mean': 0.6463032237265448, 'std': 0.01974844986589137}, 'recall': {'mean': 0.8197175282607996, 'std': 0.013777935882299872}, 'roc_auc': {'mean': 0.9078951543590852, 'std': 0.0034150400247280168}}",0.8197175282607996,COMPLETE
