number,value,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
10,0.8106243206469638,0.7703536404395552,0.2010416169906573,4,5,360,42,1.385151701431249e-08,0.0001992572038926813,0.8425651824328453,0.8105418816092802,"{'accuracy': {'mean': 0.8304930766195744, 'std': 0.00427986742005554}, 'balanced_accuracy': {'mean': 0.8298388417897172, 'std': 0.005096935196336511}, 'brier_score': {'mean': 0.12335217379268382, 'std': 0.0014954035411468907}, 'cohen_kappa': {'mean': 0.6572654616928708, 'std': 0.009159341725245185}, 'f1': {'mean': 0.8105418816092802, 'std': 0.006185292628342486}, 'mean_absolute_stage_error': {'mean': 0.16950692338042567, 'std': 0.004279867420055545}, 'precision': {'mean': 0.7972949861400822, 'std': 0.004581112251698574}, 'quadratic_weighted_kappa': {'mean': 0.6572654616928708, 'std': 0.009159341725245185}, 'recall': {'mean': 0.8243903768354347, 'std': 0.013587135812907271}, 'roc_auc': {'mean': 0.9110772144182494, 'std': 0.0024222977818341668}}",0.8243903768354347,COMPLETE
11,0.8131053376612655,0.6576142312980922,0.09690934856498781,4,28,280,48,0.0014441715954419988,18.44184357050914,0.68097659875166,0.8130202273060328,"{'accuracy': {'mean': 0.8277510507439704, 'std': 0.004578693736863622}, 'balanced_accuracy': {'mean': 0.8302556134456491, 'std': 0.004316434264851656}, 'brier_score': {'mean': 0.1207185543840728, 'std': 0.001416833176396187}, 'cohen_kappa': {'mean': 0.6539470844024641, 'std': 0.008948085401853455}, 'f1': {'mean': 0.8130202273060328, 'std': 0.00445091911126199}, 'mean_absolute_stage_error': {'mean': 0.17224894925602965, 'std': 0.004578693736863622}, 'precision': {'mean': 0.7782552618963025, 'std': 0.007161901684502336}, 'quadratic_weighted_kappa': {'mean': 0.6539470844024641, 'std': 0.008948085401853455}, 'recall': {'mean': 0.8511035523261432, 'std': 0.00594239100479576}, 'roc_auc': {'mean': 0.9120624188761353, 'std': 0.0016962563398875432}}",0.8511035523261432,COMPLETE
12,0.8145478482830362,0.7285860972613403,0.07234906417634276,6,59,240,40,6.194456000332064,1.1606251453655039,0.8042791288412398,0.814463294646355,"{'accuracy': {'mean': 0.830492117802218, 'std': 0.006995738116155184}, 'balanced_accuracy': {'mean': 0.8321054231565876, 'std': 0.006823787032275019}, 'brier_score': {'mean': 0.11788573012707912, 'std': 0.002250321768761946}, 'cohen_kappa': {'mean': 0.6588263377672485, 'std': 0.013898902826822275}, 'f1': {'mean': 0.814463294646355, 'std': 0.007239708192518648}, 'mean_absolute_stage_error': {'mean': 0.16950788219778196, 'std': 0.006995738116155184}, 'precision': {'mean': 0.7856231621339862, 'std': 0.009132401837915152}, 'quadratic_weighted_kappa': {'mean': 0.6588263377672485, 'std': 0.013898902826822275}, 'recall': {'mean': 0.8455363668119242, 'std': 0.006568911199354821}, 'roc_auc': {'mean': 0.9149815440840913, 'std': 0.0030090927449026115}}",0.8455363668119242,COMPLETE
13,0.8158348595869375,0.7401375666843812,0.1356076080368129,-1,28,280,38,0.003289385241885915,0.004400648092711709,0.7959236129146252,0.815752220227689,"{'accuracy': {'mean': 0.8357803311083977, 'std': 0.004947976209228213}, 'balanced_accuracy': {'mean': 0.8347736336655925, 'std': 0.0053755600046230595}, 'brier_score': {'mean': 0.12244666197835655, 'std': 0.0036160725101006606}, 'cohen_kappa': {'mean': 0.6676773517651875, 'std': 0.0102420215433248}, 'f1': {'mean': 0.815752220227689, 'std': 0.006153729634414969}, 'mean_absolute_stage_error': {'mean': 0.16421966889160236, 'std': 0.004947976209228216}, 'precision': {'mean': 0.805408528866168, 'std': 0.003924230649360953}, 'quadratic_weighted_kappa': {'mean': 0.6676773517651875, 'std': 0.0102420215433248}, 'recall': {'mean': 0.8263935924845969, 'std': 0.009285383711744677}, 'roc_auc': {'mean': 0.9158304003223263, 'std': 0.003985777915044211}}",0.8263935924845969,COMPLETE
14,0.8146730965430696,0.7782331031179882,0.16968658145403956,-1,26,280,37,3.0903419157408147e-07,0.0024860274930070367,0.999045634400205,0.8145907908136152,"{'accuracy': {'mean': 0.8351928637141803, 'std': 0.006029628533893283}, 'balanced_accuracy': {'mean': 0.8338918155997599, 'std': 0.006485081859752914}, 'brier_score': {'mean': 0.1250352109248805, 'std': 0.003077489530483147}, 'cohen_kappa': {'mean': 0.6662972169207587, 'std': 0.012413643381780184}, 'f1': {'mean': 0.8145907908136152, 'std': 0.007461803582966644}, 'mean_absolute_stage_error': {'mean': 0.1648071362858196, 'std': 0.006029628533893278}, 'precision': {'mean': 0.8064474516740866, 'std': 0.007741033153106745}, 'quadratic_weighted_kappa': {'mean': 0.6662972169207587, 'std': 0.012413643381780184}, 'recall': {'mean': 0.8230572945440491, 'std': 0.013459378773938508}, 'roc_auc': {'mean': 0.9160123156036244, 'std': 0.002773714395393566}}",0.8230572945440491,COMPLETE
15,0.8156731565225791,0.7170084939515488,0.1432388025202146,-1,25,360,24,0.0016266962635916868,0.007741944002440564,0.8777058127049169,0.8155902719515016,"{'accuracy': {'mean': 0.8350951122847036, 'std': 0.004860117552091918}, 'balanced_accuracy': {'mean': 0.8344257309021377, 'std': 0.004937185979877313}, 'brier_score': {'mean': 0.12146127621605962, 'std': 0.0027934721533613054}, 'cohen_kappa': {'mean': 0.6665291806525688, 'std': 0.009810208539626867}, 'f1': {'mean': 0.8155902719515016, 'std': 0.005438238975009038}, 'mean_absolute_stage_error': {'mean': 0.16490488771529646, 'std': 0.004860117552091927}, 'precision': {'mean': 0.8027882419263953, 'std': 0.006164327267510107}, 'quadratic_weighted_kappa': {'mean': 0.6665291806525688, 'std': 0.009810208539626867}, 'recall': {'mean': 0.8288457107749021, 'std': 0.007236815708766741}, 'roc_auc': {'mean': 0.9151487313843987, 'std': 0.002697353444026413}}",0.8288457107749021,COMPLETE
16,0.8144846222244017,0.8177535669939808,0.11855514924546301,-1,5,280,15,0.0010877849299928224,0.001514684401749473,0.7647948625139618,0.8144002911066787,"{'accuracy': {'mean': 0.8308837467514069, 'std': 0.006389484541509443}, 'balanced_accuracy': {'mean': 0.8322165281128647, 'std': 0.006356697529654097}, 'brier_score': {'mean': 0.12062841787425263, 'std': 0.0029625039945839946}, 'cohen_kappa': {'mean': 0.6594172877900231, 'std': 0.012769355200891792}, 'f1': {'mean': 0.8144002911066787, 'std': 0.006862668868907909}, 'mean_absolute_stage_error': {'mean': 0.16911625324859306, 'std': 0.006389484541509455}, 'precision': {'mean': 0.7874891418571353, 'std': 0.008875893098858067}, 'quadratic_weighted_kappa': {'mean': 0.6594172877900231, 'std': 0.012769355200891792}, 'recall': {'mean': 0.8433111772298346, 'std': 0.009486440199065353}, 'roc_auc': {'mean': 0.9112575439181072, 'std': 0.0033848710331754305}}",0.8433111772298346,COMPLETE
17,0.8211404596466542,0.7035483526188103,0.050486260529013643,-1,33,320,45,0.034240819579122624,0.012974032521868762,0.8788439118488813,0.8210563064796856,"{'accuracy': {'mean': 0.8386205398812889, 'std': 0.003891321275259451}, 'balanced_accuracy': {'mean': 0.8389331224979519, 'std': 0.004075962314115396}, 'brier_score': {'mean': 0.11597621241834755, 'std': 0.0015420878613540473}, 'cohen_kappa': {'mean': 0.6742603268977652, 'std': 0.007921182014052393}, 'f1': {'mean': 0.8210563064796856, 'std': 0.00452646409217747}, 'mean_absolute_stage_error': {'mean': 0.16137946011871118, 'std': 0.0038913212752594312}, 'precision': {'mean': 0.8015831929459913, 'std': 0.004511662710534538}, 'quadratic_weighted_kappa': {'mean': 0.6742603268977652, 'std': 0.007921182014052393}, 'recall': {'mean': 0.8415316696849506, 'std': 0.006942200371634644}, 'roc_auc': {'mean': 0.9178067182444899, 'std': 0.0022195216853404752}}",0.8415316696849506,COMPLETE
18,0.8217883508737187,0.7052829550210197,0.045302057359871535,-1,50,320,62,2.738421547412418e-07,0.023484255250996944,0.8977498612100382,0.8217044873133659,"{'accuracy': {'mean': 0.8398930343357289, 'std': 0.00632369131901203}, 'balanced_accuracy': {'mean': 0.8397585814571438, 'std': 0.006564645220141336}, 'brier_score': {'mean': 0.11583160643928403, 'std': 0.002635896232341301}, 'cohen_kappa': {'mean': 0.676527379666422, 'std': 0.012862433980920553}, 'f1': {'mean': 0.8217044873133659, 'std': 0.00731791392989722}, 'mean_absolute_stage_error': {'mean': 0.16010696566427107, 'std': 0.0063236913190120436}, 'precision': {'mean': 0.8055023886105787, 'std': 0.00737818843672397}, 'quadratic_weighted_kappa': {'mean': 0.676527379666422, 'std': 0.012862433980920553}, 'recall': {'mean': 0.8386356035287911, 'std': 0.01035401196413676}, 'roc_auc': {'mean': 0.9182183848087752, 'std': 0.003117561274411963}}",0.8386356035287911,COMPLETE
19,0.8079909000584558,0.8062127029575127,0.04015237854588166,4,50,320,63,0.000121044433366855,0.24220733818191661,0.8830153849895794,0.8079055674320037,"{'accuracy': {'mean': 0.8214833096265742, 'std': 0.005827074131265775}, 'balanced_accuracy': {'mean': 0.824896449686525, 'std': 0.006121232115757137}, 'brier_score': {'mean': 0.12499313473743937, 'std': 0.002092776732508499}, 'cohen_kappa': {'mean': 0.6420530561206639, 'std': 0.011813295489412222}, 'f1': {'mean': 0.8079055674320037, 'std': 0.006648141005921373}, 'mean_absolute_stage_error': {'mean': 0.17851669037342582, 'std': 0.005827074131265763}, 'precision': {'mean': 0.7671254042374125, 'std': 0.006030710084708857}, 'quadratic_weighted_kappa': {'mean': 0.6420530561206639, 'std': 0.011813295489412222}, 'recall': {'mean': 0.8533262645205884, 'std': 0.010345435927559463}, 'roc_auc': {'mean': 0.9079927486910033, 'std': 0.00350756334674128}}",0.8533262645205884,COMPLETE
