feature,selected,consensus_rank,consensus_score,mutual_info,mutual_info_rank,anova_f,anova_rank,rfe_rank,rfe_selected
quality_adjusted_lesion_density,False,135,266.0,0.0694624891519493,107,9.506142200149727,156,3,False
ma_distance_to_optic_disc_mean,False,136,267.0,0.05480969769877797,132,17.223121330989738,134,1,True
texture_lesion_interaction,False,137,268.0,0.05339897858564857,135,18.252676070440994,130,3,False
hemorrhage_count,False,138,270.0,0.047589462458687226,144,20.19249525983484,122,4,False
hsv_h_entropy,False,139,273.0,0.04908429057627739,142,19.032362001039772,127,4,False
hsv_s_mean,False,140,273.0,0.06554103052553062,114,9.046182511238039,158,1,True
vessel_branching_count,False,141,276.0,0.03267199927550157,161,28.211882471713277,110,5,False
vessel_branchpoint_count,False,142,278.0,0.03178880660246719,163,28.211882471713277,111,4,False
glcm_contrast_0,False,143,278.0,0.03713731794088648,152,20.13752459694591,123,3,False
hemorrhage_density,False,144,281.0,0.05227379884431427,139,14.670932428589403,138,4,False
hemorrhage_retina_affected_pct,False,145,283.0,0.05219968110143691,140,14.670932428589264,139,4,False
rgb_r_mean,False,146,289.0,0.061731809208548594,123,7.933299774462145,163,3,False
ma_distance_to_optic_disc_min,False,147,293.0,0.04663115817436303,146,12.277269750289244,143,4,False
lab_color_l_entropy,False,148,294.0,0.041659069660669346,150,13.578945769623555,141,3,False
hemorrhage_mean_area,False,149,294.0,0.027383622717522815,169,21.232851683801965,121,4,False
rgb_b_mean,False,150,296.0,0.0475359426029911,145,10.25467275768305,150,1,True
vessel_average_width,False,151,297.0,0.03538833231484784,157,15.504838943975972,136,4,False
vessel_tortuosity_mean,False,152,300.0,0.022376336758188398,171,18.823627002522965,128,1,True
referable_lesion_score,False,153,301.0,0.07521571115753245,100,1.595966877537666,197,4,False
ma_density,False,154,302.0,0.02826271345765141,167,18.162834831692635,131,4,False
vessel_curvature_std,False,155,304.0,0.03758834068146344,151,10.9175033023751,149,4,False
lab_color_a_mean,False,156,304.0,0.030538753299634624,166,15.207258379151513,137,1,True
vessel_tortuosity_max,False,157,305.0,0.03418201782025232,159,13.44099037312454,142,4,False
hemorrhage_largest_area,False,158,314.0,0.016167097421383225,176,15.800363789134007,135,3,False
hsv_v_entropy,False,159,314.0,0.0346457403174254,158,9.743863576349653,152,4,False
hard_exudate_texture_std,False,160,315.0,0.054540365887480124,133,4.070652599938169,178,4,False
vessel_curvature_max,False,161,315.0,0.014955613809129353,178,18.003225853219217,132,5,False
all_lesion_perimeter_mean,False,162,316.0,0.03284098400130597,160,9.57008988697364,155,1,True
hsv_h_max,False,163,318.0,0.06490764636026247,117,1.6671081059326547,196,5,False
rgb_r_entropy,False,164,318.0,0.032185807234962116,162,9.682320205080549,153,3,False
rgb_g_min,False,165,320.0,0.049071340372485395,143,4.9597607877508265,172,5,False
rgb_b_min,False,166,323.0,0.052922571733044155,137,3.676533356143874,181,5,False
hemorrhage_area,False,167,324.0,0.05338539863866387,136,2.61723819962491,185,3,False
all_lesion_convex_hull_area_mean,False,168,327.0,0.03583808932850552,153,5.348361497794267,171,3,False
nasal_lesion_density,False,169,329.0,0.04367194002499142,149,4.477074296904458,176,4,False
ma_temporal_count,False,170,333.0,0.004747458676761962,189,13.938974937082707,140,4,False
superior_vessel_density,False,171,333.0,0.012738835491265199,181,11.273415717687113,148,4,False
rgb_g_entropy,False,172,334.0,0.009356678101712035,186,11.553846015866005,144,4,False
vessel_complexity_score,False,173,334.0,0.030755994821259236,165,7.313969470300127,165,4,False
ma_inferior_count,False,174,335.0,0.01456695982685785,179,10.2222916162123,151,5,False
inferior_lesion_count,False,175,336.0,0.015758844837205466,177,9.588659001951104,154,5,False
nasal_lesion_count,False,176,338.0,0.028058972806658034,168,6.769171821731849,166,4,False
ma_area,False,177,345.0,0.020622290643709462,172,6.035742443560684,169,4,False
ma_max_area,False,178,358.0,0.024129785212427812,170,3.2051837336621056,183,5,False
cotton_wool_circularity_mean,False,179,360.0,0.016594678055798173,175,3.679825327201101,180,5,False
ma_nasal_count,False,180,363.0,0.0,198,8.285541653180347,161,4,False
hemorrhage_to_ma_ratio,False,181,364.0,0.031512376768622286,164,1.7803968342125394,195,5,False
soft_exudate_area,False,182,368.0,0.016890730382623786,174,2.247486271201668,189,5,False
ma_superior_count,False,183,370.0,0.011453915747480448,183,3.628219497192928,182,5,False
hsv_s_max,False,184,371.0,0.001082189994291216,196,5.515202729344026,170,5,False
ma_mean_area,False,185,371.0,0.002400384231142194,192,4.595215711598836,175,4,False
cotton_wool_aspect_ratio_mean,False,186,372.0,0.0027693731399418553,190,4.3455307744620155,177,5,False
cotton_wool_mean_area,False,187,373.0,0.012589955257556795,182,2.5321407939346616,186,5,False
cotton_wool_distribution_entropy,False,188,374.0,0.0015944261370677282,195,4.662422480618916,174,5,False
cotton_wool_count,False,189,376.0,0.010818025644379059,184,2.5217490902467903,187,5,False
ma_count,False,190,377.0,0.0,199,4.822090677312799,173,5,False
cotton_wool_area,False,191,377.0,0.006323544761576816,188,2.739521872239926,184,5,False
cotton_wool_solidity_mean,False,192,378.0,0.0017412107781984432,194,4.0246831294416126,179,5,False
soft_exudate_texture_std,False,193,379.0,0.018309303623639916,173,0.9304263659659843,201,5,False
soft_exudate_max_area,False,194,384.0,0.009509554071177817,185,1.8817100124329689,194,5,False
hsv_h_min,False,195,387.0,0.013797234233721145,180,0.48369576789570945,202,5,False
soft_exudate_brightness_std,False,196,391.0,0.008833194726568294,187,1.5509541146858041,199,5,False
soft_exudate_brightness_mean,False,197,393.0,0.0,197,2.1744959909933965,191,5,False
soft_exudate_coverage_pct,False,198,395.0,0.0,202,2.4125991647383405,188,5,False
soft_exudate_count,False,199,396.0,0.0,201,2.2310278252133586,190,5,False
soft_exudate_texture_mean,False,200,396.0,0.002415996796858888,191,1.0625209155272017,200,5,False
soft_exudate_mean_area,False,201,396.0,0.001805399394113838,193,1.5836773498264207,198,5,False
soft_exudate_distance_to_macula_mean,False,202,397.0,0.0,200,2.1570232307433272,192,5,False
soft_exudate_distance_to_optic_disc_mean,False,203,401.0,0.0,203,1.9043819810472877,193,5,False
