mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_split,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7043874263763428,0.20994490529771345,0.2350715160369873,0.14806584579473128,5,2,50,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.46298375737547437,0.48750700276100345,0.5384890762462197,0.4827421497532331,0.5300375021803594,0.5003518976632579,0.029007419605633765,14,0.6322957824636972,0.6206285578888512,0.6233105722691222,0.6077863883480198,0.6277877950402327,0.6223618192019847,0.008300269292294389
0.9816031932830811,0.2300394358743172,0.5149912357330322,0.14573097058606624,5,2,100,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.4721988153454243,0.49590885735145884,0.5076646034247859,0.49597658857982585,0.5207195603517611,0.4984936850106513,0.016015820668441216,15,0.6289524866159313,0.6336632206873649,0.64627149450374,0.6234116003045147,0.6368923190368578,0.6338382242296817,0.007701029146109055
1.7510406017303466,0.1644944271461785,0.4084963798522949,0.10767057390955112,5,2,200,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.4914462786518909,0.5068086555779145,0.5048955836503461,0.4990538050408036,0.5098844295284757,0.5024177504898862,0.006524727179044155,13,0.6337309824855328,0.6252990418637505,0.6445819376957038,0.6278606255992265,0.6415796480253784,0.6346104471339185,0.007497148818218334
0.8524152755737304,0.16513599429166367,0.47498812675476076,0.2560430002089851,5,5,50,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.4479587710316171,0.47526729173089866,0.5222906479448628,0.4776832833664389,0.5331932339904057,0.49127864561284457,0.031737630248582414,18,0.6295527470656468,0.6225532871269179,0.623735547470581,0.6030781974354675,0.6292675440298847,0.6216374646256997,0.009701101885192777
1.0546224594116211,0.2255794298777579,0.37269177436828616,0.24606474224333133,5,5,100,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.4731858832128314,0.48886335902501443,0.4993404935630741,0.4940832602075823,0.513533239084416,0.49380124701858363,0.013187041042523849,17,0.6262498953028091,0.6240592061369068,0.6409009976788027,0.6134855835695644,0.638018730948315,0.6285428827272795,0.009945834401234782
1.968238639831543,0.14561056778150194,0.7355664253234864,0.09346452095547356,5,5,200,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.4798488209779803,0.5007365733810046,0.5133624858485042,0.4884113057867617,0.5088983272383308,0.4982515026465163,0.012516872058203938,16,0.6289349624817266,0.6214132786661417,0.637358906931379,0.6223560669449326,0.6364902924823271,0.6293107015013014,0.006740883419260829
1.0569835662841798,0.4497147819497149,0.34955697059631347,0.21879016096869797,10,2,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.5566091053123365,0.5175922025062607,0.5857279351497169,0.5750506828930224,0.5080661388382627,0.5486092129399198,0.030811507407438994,3,0.9698753698855447,0.9685346594836786,0.9671020780266215,0.9693267279059459,0.97005312977411,0.9689783930151801,0.0010768863622831635
1.17471923828125,0.0684837487981503,1.3540310859680176,0.9478098643433576,10,2,100,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.54418358718924,0.5094414710205727,0.5623552432112312,0.5842988103681608,0.5177589762569323,0.5436076176092274,0.027723838865827008,4,0.9716294605887269,0.9694567330150692,0.9676997171330497,0.9707229945695234,0.9716727286930151,0.970236326799877,0.0015022032313512952
3.133325624465942,0.1350796594842058,0.47315201759338377,0.13731187677415618,10,2,200,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.5385351794106417,0.5289307170424998,0.5900067346158673,0.5954669591724183,0.5050322762397359,0.5515943732962325,0.035362483045286545,2,0.9727465888819411,0.9688291708682112,0.9682518048786305,0.9706322008034116,0.9721270717615837,0.9705173674387556,0.0017638902644986976
1.5525588989257812,0.6935640127350612,0.9136823654174805,0.6855699380410691,10,5,50,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 50}",0.5167772614247035,0.5466134449534852,0.5504174986875063,0.5621128337522889,0.5359067216595308,0.5423655520955031,0.015292551654578584,5,0.958926451926781,0.961036894836735,0.958801279696792,0.9590059583914547,0.9637704778796111,0.9603082125462746,0.0019180320135510323
